Name,Address,City,Zipcode,Average Review Score,Total Review Count,Latitude,Longitude
Cherrywood House,"Dubai, ARE",Dubai,None,9.4,126,25.008698,55.15937
"Luxury 1br in Dubai Marina, ask for July Full month offer","Dubai, ARE",Dubai,None,9.8,43,25.068718,55.129521
Bastakiya Area,"Dubaï, ARE",Dubaï,None,None,None,25.26436569300006,55.299924829000076
Alphatel Beach Hostel JBR,"Dubai, ARE",Dubai,None,9.4,375,25.07591,55.133018
Skyview Host,"Dubai, ARE",Dubai,None,9.4,392,25.088612,55.14819
Deira,"Dubaï, ARE",Dubaï,None,None,None,25.268619756000078,55.29472814600007
WORLD CLASS 3BR with full BURJ KHALIFA and FOUNTAIN VIEW,"Dubai, ARE",Dubai,None,9.7,42,25.19854,55.271503
Aspen Chalets by Kempinski Hotel Mall of The Emirates,"Dubai, ARE",Dubai,None,9.4,231,25.118484,55.197207
Vida Dubai Marina & Yacht Club,"Dubai, ARE",Dubai,None,9.3,1533,25.072267,55.135861
Jumeirah Beach Park,"Dubaï, ARE",Dubaï,None,None,None,25.193367074000037,55.230675749000056
Children's City,"Dubaï, ARE",Dubaï,None,None,None,25.235862976000078,55.32802912100004
Mall of the Emirates,"Dubaï, ARE",Dubaï,None,None,None,25.11981978700004,55.19992212400007
Jumeirah Beach,"Dubaï, ARE",Dubaï,None,None,None,25.231058322000024,55.259412990000044
SmartStay at Burj Royale - Full Burj Khalifa View - Brand New Luxury Apartments,"Dubai, ARE",Dubai,None,9.5,160,25.192178,55.279741
"Al Khayma Camp ""Elite Camping & Dining in Experience""","Hunaywah, ARE",Hunaywah,None,9.5,106,25.193983,55.602741
Vida Creek Beach Hotel,"Dubai, ARE",Dubai,None,9.4,716,25.203518,55.349212
Al Marmoom Oasis “Luxury Camping & Bedouin Experience”,"Dubai, ARE",Dubai,None,9.7,46,24.849759,55.34461
FIRST CLASS 3BR with full BURJ KHALIFA and FOUNTAIN VIEW,"Dubai, ARE",Dubai,None,9.6,60,25.19878,55.271728
Rovers Hostel Dubai,"Dubai, ARE",Dubai,None,9.5,71,25.076052,55.133026
Dubai World Trade Centre,"Dubaï, ARE",Dubaï,None,None,None,25.227528849000066,55.289033120000056
"Heaven Crest Holiday Homes Downtown - Studio, 1 & 2 Bedroom Suites beside Dubai Mall and Burj Khalifa","Dubai, ARE",Dubai,None,9.3,253,25.194644,55.283308
Creekside Park,"Dubaï, ARE",Dubaï,None,None,None,25.24123928700004,55.326974773000074
Luxury Apartment Palm Jumeirah,"Dubai, ARE",Dubai,None,9.8,47,25.108671,55.146546
"Bab Al Shams, A Rare Finds Desert Resort, Dubai","Dubai, ARE",Dubai,None,9.3,1072,24.817138,55.230926
Al-Ahmadiya School,"Dubaï, ARE",Dubaï,None,None,None,25.268236949000027,55.29501730800007
Burj Al Arab Jumeirah,"Dubai, ARE",Dubai,None,9.3,1620,25.140968,55.185698
Al Safa Park,"Dubaï, ARE",Dubaï,None,None,None,25.18589793700005,55.246445401000074
Atlantis The Royal,"Dubai, ARE",Dubai,None,9.2,2020,25.137744,55.126527
Dreams beach hostel,"Dubai, ARE",Dubai,None,9.3,310,25.072446,55.130814
Dubai Heritage House,"Dubaï, ARE",Dubaï,None,None,None,25.268635197000037,55.294755268000074
Spice Souk,"Dubaï, ARE",Dubaï,None,None,None,25.267428445000064,55.29685165400008
Trinity Holiday Homes - Sheikh Zayed Road Near to Financial Center Metro Station,"Dubai, ARE",Dubai,None,9.2,881,25.21094,55.276271
Jumeirah Al Naseem Dubai,"Dubai, ARE",Dubai,None,9.2,1578,25.137119,55.186964
FIRST CLASS 3BR with full DUBAI SKYLINE & SEA view,"Dubai, ARE",Dubai,None,9.5,66,25.198736,55.271369
The Dubai EDITION,"Dubai, ARE",Dubai,None,9,2984,25.192106,55.28068
DAMAC Maison Aykon City Dubai,"Dubai, ARE",Dubai,None,9.2,1633,25.180306,55.251916
"The St. Regis Dubai, The Palm","Dubai, ARE",Dubai,None,9.2,1372,25.113755,55.139991
"Hotel Boulevard, Autograph Collection","Dubai, ARE",Dubai,None,9.1,4132,25.190134,55.27454
Raffles Dubai,"Dubai, ARE",Dubai,None,9.1,1964,25.22781,55.320949
Address Beach Resort,"Dubai, ARE",Dubai,None,9.2,2458,25.072341,55.126728
Grays Hostel By Haly,"Dubai, ARE",Dubai,None,9.3,190,25.080422,55.138892
"Courtyard by Marriott Dubai, Al Barsha","Dubai, ARE",Dubai,None,9.2,3517,25.114744,55.197319
Avani Plus Palm View Dubai Hotel & Suites,"Dubai, ARE",Dubai,None,9.2,3284,25.098449,55.1569
"Taj Exotica Resort & Spa, The Palm, Dubai","Dubai, ARE",Dubai,None,9.2,3565,25.123534,55.154705
"Mandarin Oriental Jumeira, Dubai","Dubai, ARE",Dubai,None,9.2,1515,25.216946,55.251109
Golden Sands Boutique Hotel-Dubai Creek,"Dubai, ARE",Dubai,None,9.2,5768,25.259824,55.318268
Kempinski Hotel & Residences Palm Jumeirah,"Dubai, ARE",Dubai,None,9.2,916,25.112745,55.10901
Four Seasons Resort Dubai at Jumeirah Beach,"Dubai, ARE",Dubai,None,9.2,830,25.202504,55.239478
Rove Downtown,"Dubai, ARE",Dubai,None,9.2,10832,25.203055,55.278971
Le Royal Meridien Beach Resort & Spa Dubai,"Dubai, ARE",Dubai,None,9.2,2108,25.08428,55.14081
"Rove City Centre, Deira","Dubai, ARE",Dubai,None,9.2,6982,25.255616,55.332591
ME Dubai by Meliá,"Dubai, ARE",Dubai,None,8.8,2206,25.188981,55.266769
Hostel Resort VIP,"Dubai, ARE",Dubai,None,9.6,40,25.08239,55.140691
Magnificent 3BR with Full Burj Khalifa & Fountain view,"Dubai, ARE",Dubai,None,9.5,55,25.200949,55.280842
Serenity Paradise 2BR in Marina,"Dubai, ARE",Dubai,None,9.4,66,25.089868,55.150864
Taj Dubai,"Dubai, ARE",Dubai,None,8.9,5978,25.193025,55.267673
"HOMESTAR, Jumeirah Beach Hostel - JBR - Pool, Beach, Metro","Dubai, ARE",Dubai,None,9.2,771,25.081596,55.139378
Newly furnished One Bedroom Apartment next to Metro & Beach in Marina Residence,"Dubai, ARE",Dubai,None,9.4,72,25.072488,55.137937
Beautiful apartment with amazing sea views,"Dubai, ARE",Dubai,None,9.8,29,25.073077,55.130852
The Lana - Dorchester Collection,"Dubai, ARE",Dubai,None,9.8,30,25.187957,55.288602
Lusso Hometels J One Business Bay,"Dubai, ARE",Dubai,None,9.2,593,25.186113,55.283278
Prime Retreats @ Burj Royale By Emaar,"Dubai, ARE",Dubai,None,9.4,69,25.191567,55.280319
2 Bedroom with Full Burj view,"Dubai, ARE",Dubai,None,9.5,54,25.200889,55.276256
Silvana Deluxe Hostel,"Dubai, ARE",Dubai,None,9.4,67,25.075582,55.132557
FIRST CLASS 3BR with full BURJ KHALIFA and FOUNTAIN VIEW,"Dubai, ARE",Dubai,None,9.3,109,25.198609,55.271433
Jumeirah Zabeel Saray Dubai,"Dubai, ARE",Dubai,None,8.8,3932,25.097837,55.123483
Park Hyatt Dubai,"Dubai, ARE",Dubai,None,9,1607,25.243587,55.33352
JBR Beach Hostel - Pool - Walk To JBR Beach - Metro Station,"Dubai, ARE",Dubai,None,9.2,347,25.080684,55.138984
FIRST CLASS 2BR with full DUBAI SKYLINE & SEA view,"Dubai, ARE",Dubai,None,9.5,58,25.198499,55.271618
"HOMESTAR, Deluxe Hostel - JBR - Walk To Beach, Metro Station","Dubai, ARE",Dubai,None,9.2,656,25.080558,55.138292
VIP Hostel - Females Only,"Dubai, ARE",Dubai,None,9.3,133,25.27171,55.329671
Downtown Al Bahar Apartments,"Dubai, ARE",Dubai,None,9.2,288,25.195017,55.276562
Meliá Desert Palm Member of Meliá Collection,"Dubai, ARE",Dubai,None,8.7,980,25.167722,55.446705
Rove Healthcare City - Bur Dubai,"Dubai, ARE",Dubai,None,9.1,5736,25.233912,55.314335
FIVE Jumeirah Village,"Dubai, ARE",Dubai,None,9.1,38892,25.053966,55.207192
Fabolous Vacation Home in Dubai Marina,"Dubai, ARE",Dubai,None,9.4,64,25.070202,55.133833
Ecos Dubai Hotel at Al Furjan,"Dubai, ARE",Dubai,None,9.1,4374,25.020678,55.153417
Andaz by Hyatt – Palm Jumeirah,"Dubai, ARE",Dubai,None,8.7,3266,25.115049,55.140588
Rove Trade Centre,"Dubai, ARE",Dubai,None,9.1,8447,25.230955,55.287461
"Armani Hotel Dubai, Burj Khalifa","Dubai, ARE",Dubai,None,8.8,1527,25.197078,55.274561
Raffles The Palm,"Dubai, ARE",Dubai,None,9.1,1722,25.110771,55.109803
"Courtyard by Marriott World Trade Centre, Dubai","Dubai, ARE",Dubai,None,9.1,3648,25.22804,55.283091
Al Jaddaf Rotana Suite Hotel,"Dubai, ARE",Dubai,None,9.1,3003,25.22056,55.329113
Sofitel Dubai The Obelisk,"Dubai, ARE",Dubai,None,9.1,3925,25.23115,55.318746
"Huge Entire apartment for Couples ,families & Groups -up to 5 Guests- with free pool, steam & Sauna ,JVC,Dubai","Dubai, ARE",Dubai,None,9.4,63,25.048741,55.205046
Grand Cosmopolitan Hotel,"Dubai, ARE",Dubai,None,9.1,8589,25.113334,55.192827
Rove Dubai Marina,"Dubai, ARE",Dubai,None,9.1,7741,25.069579,55.12763
"Atlantis, The Palm","Dubai, ARE",Dubai,None,9.1,18642,25.130504,55.116665
"The Heritage Hotel, Autograph Collection","Dubai, ARE",Dubai,None,9.1,5272,25.191297,55.277935
"Kempinski Hotel Mall of the Emirates, Dubai","Dubai, ARE",Dubai,None,9.1,9247,25.118748,55.197456
Jumeirah Al Qasr Dubai,"Dubai, ARE",Dubai,None,9.1,1781,25.131347,55.185045
The St. Regis Downtown Dubai,"Dubai, ARE",Dubai,None,9.1,2332,25.185947,55.273751
XVA Art Hotel,"Dubai, ARE",Dubai,None,8.7,624,25.263899,55.300573
Sofitel Dubai Downtown,"Dubai, ARE",Dubai,None,8.6,4011,25.199973,55.269065
Exclusive Retreat GLOBALSTAY's New 3BR Townhouse with Private Pool,"Dubai, ARE",Dubai,None,9.3,83,25.140533,55.136986
Address Grand Creek Harbour,"Dubai, ARE",Dubai,None,9.1,1086,25.209449,55.343955
SO/ Uptown Dubai,"Dubai, ARE",Dubai,None,9.1,1125,25.060692,55.141573
Luxe - Fashion Avenue Dubai Mall - Formerly Address Dubai Mall,"Dubai, ARE",Dubai,None,9.3,87,25.199843,55.277452
Jumeirah Living Marina Gate Hotel and Apartments,"Dubai, ARE",Dubai,None,9.1,1273,25.087331,55.146926
SITARA HOTEL APARTMENT,"Dubai, ARE",Dubai,None,9.1,902,25.23551,55.308186
25hours Hotel Dubai One Central,"Dubai, ARE",Dubai,None,8.4,3796,25.21945,55.283941
Overnight Super Yacht - Orchid,"Dubai, ARE",Dubai,None,9.3,88,25.070752,55.13046
Paramount Hotel Midtown Flat with Burj Khalifa View,"Dubai, ARE",Dubai,None,9.2,120,25.193438,55.265437
DAMAC Maison Canal Views,"Dubai, ARE",Dubai,None,9.1,1133,25.188137,55.284315
EDEN'S Homes & Villas - Opera Grand,"Dubai, ARE",Dubai,None,9.3,80,25.193561,55.270477
The Sunshine Villa,"Dubai, ARE",Dubai,None,9.4,52,25.094611,55.247179
WeStay Capsule Hostel,"Dubai, ARE",Dubai,None,9.1,599,25.260888,55.287719
Jumeirah Dar Al Masyaf,"Dubai, ARE",Dubai,None,9.1,1014,25.131765,55.184374
Travelers - Dubai Marina Hostel,"Dubai, ARE",Dubai,None,9.1,255,25.076343,55.133499
Address Montgomerie,"Dubai, ARE",Dubai,None,8.5,338,25.067444,55.161761
"Element Al Jaddaf, Dubai","Dubai, ARE",Dubai,None,9.1,908,25.219609,55.331809
LUX Holiday Home Dubai Marina JBR - Silverene Tower Studios,"Dubai, ARE",Dubai,None,9.2,134,25.074902,55.138117
Rixos The Palm Hotel & Suites - Ultra All Inclusive,"Dubai, ARE",Dubai,None,9.1,914,25.120924,55.153844
Luxury 2 BR Beachfront Apt w stunning sea view,"Dubai, ARE",Dubai,None,9.5,39,25.079472,55.121519
Grand Plaza Mövenpick,"Dubai, ARE",Dubai,None,9,3691,25.09772,55.165618
Luxury 1BR apartment in Anantara Hotel Palm Jumeirah connected Anantara Hotel,"Dubai, ARE",Dubai,None,9.7,27,25.128446,55.153918
Dusit D2 Kenz Hotel Dubai,"Dubai, ARE",Dubai,None,9,7008,25.098988,55.172907
Royal Regency Suites Marina,"Dubai, ARE",Dubai,None,9,4946,25.07789,55.141818
Prestige Living 2BR with Full Burj Khalifa and Fountain View by Auberge,"Dubai, ARE",Dubai,None,10,19,25.19204,55.272909
Spectacular Views of Burj & Fountain - 2 BR,"Dubai, ARE",Dubai,None,9.9,21,25.193814,55.271198
Rove City Walk,"Dubai, ARE",Dubai,None,9,9153,25.205344,55.268123
Address Sky View,"Dubai, ARE",Dubai,None,9,2885,25.201813,55.270661
Luxurious 3 BR w maidroom in BLUEWATERS ISLAND,"Dubai, ARE",Dubai,None,9.7,27,25.079573,55.121882
STAY BY LATINEM Luxury 2BR Holiday Home CV B1309 Near Burj Khalifa,"Dubai, ARE",Dubai,None,9.3,63,25.179519,55.305239
Vida Creek Harbour,"Dubai, ARE",Dubai,None,9,4236,25.20542,55.343898
Rixos Premium Dubai JBR,"Dubai, ARE",Dubai,None,9,3987,25.080479,55.134936
Jumeirah Emirates Towers Dubai,"Dubai, ARE",Dubai,None,9,4587,25.217764,55.282011
Palace Downtown,"Dubai, ARE",Dubai,None,9,2990,25.193338,55.276279
The Meydan Hotel Dubai,"Dubai, ARE",Dubai,None,9,9894,25.157871,55.301195
One&Only The Palm Dubai,"Dubai, ARE",Dubai,None,9.1,245,25.098813,55.132565
Holiday International Hotel Embassy District,"Dubai, ARE",Dubai,None,9,2206,25.257478,55.304643
Pyramisa Hotel Apartments,"Dubai, ARE",Dubai,None,9,1040,25.085525,55.385261
Luxury stay in Marina,"Dubai, ARE",Dubai,None,9.2,89,25.083184,55.144677
Al Badayer Retreat by Sharjah Collection,"Sharjah, ARE",Sharjah,None,9,1604,24.961752,55.718348
"voco Dubai The Palm, an IHG Hotel","Dubai, ARE",Dubai,None,9,771,25.106985,55.143337
Lux Burj views -Boulevard -Prime Location Downtown DUBAI,"Dubai, ARE",Dubai,None,9.8,23,25.192816,55.278671
Westminster Boulevard Point,"Dubai, ARE",Dubai,None,9,848,25.192473,55.281479
Hilton Dubai Palm Jumeirah,"Dubai, ARE",Dubai,None,9,2528,25.10589,55.146826
FIRST CLASS 3BR with full BURJ KHALIFA and FOUNTAIN VIEW,"Dubai, ARE",Dubai,None,9.2,87,25.198608,55.271273
Veluxa - Spectacular 4 Bedroom Beach Home,"Dubai, ARE",Dubai,None,9.5,35,25.078331,55.135112
Elite Downtown Residences - Paradise View,"Dubai, ARE",Dubai,None,9.3,58,25.186427,55.278498
New Luxury Modern Canal View.,"Dubai, ARE",Dubai,None,9.5,36,25.186301,55.282569
Address Dubai Mall,"Dubai, ARE",Dubai,None,9,1650,25.194455,55.282023
Expo Village Serviced Apartments,"Dubai, ARE",Dubai,None,9,1452,24.962999,55.145127
"The Ritz-Carlton, Dubai","Dubai, ARE",Dubai,None,9,1498,25.083072,55.138283
One&Only Royal Mirage Resort Dubai at Jumeirah Beach,"Dubai, ARE",Dubai,None,9,1591,25.094944,55.150423
Jumeirah Mina Al Salam Dubai,"Dubai, ARE",Dubai,None,9,1521,25.134955,55.185989
Joyful Journeys,"Dubai, ARE",Dubai,None,9.4,38,25.071706,55.137255
"Local Super Host Experience , Stylish Private Rooms in a Shared apartment","Dubai, ARE",Dubai,None,9.1,112,25.088651,55.14681
"Magnificent Homes, Stunning Burj Khalifa and Fountain View","Dubai, ARE",Dubai,None,9.7,24,25.193727,55.27121
Paramount Home Midtown Apartments with Infinity Sky Pool,"Dubai, ARE",Dubai,None,9.7,24,25.193438,55.265437
BLVD SkyView,"Dubai, ARE",Dubai,None,9.4,41,25.192549,55.269767
The Female Journey Hostel - JBR,"Dubai, ARE",Dubai,None,9.2,71,25.082451,55.140608
EDEN'S Homes & Villas - Boulevard Point,"Dubai, ARE",Dubai,None,9.6,27,25.193315,55.280917
OSTAY -Address Dubai Mall - The Residence,"Dubai, ARE",Dubai,None,9,233,25.192853,55.278965
Ultimate Stay / 2 Beds / Opera and Fountain views,"Dubai, ARE",Dubai,None,9.2,64,25.196528,55.269677
1BR Apartment at Armani Hotel Residence by Luxury Explorers Collection,"Dubai, ARE",Dubai,None,9.6,28,25.196833,55.274158
Lovely 2-bed condo in JBR - 5 mins from beach - Palm View!,"Dubai, ARE",Dubai,None,9.5,34,25.081125,55.139351
Modern Studio Center of Dubai,"Dubai, ARE",Dubai,None,9.5,32,25.171266,55.300936
Luxurious Beachfront Apartment,"Dubai, ARE",Dubai,None,9.7,25,25.098128,55.139763
FIVE LUXE,"Dubai, ARE",Dubai,None,9,479,25.081547,55.136309
Dunya Tower Luxury and 2 min walk to Dubai Mall and Burj Khalifa,"Dubai, ARE",Dubai,None,9.5,34,25.194595,55.2831
Four Seasons Hotel Dubai International Financial Centre,"Dubai, ARE",Dubai,None,9,358,25.214842,55.280929
"Rove La Mer Beach, Jumeirah","Dubai, ARE",Dubai,None,8.9,7935,25.225995,55.254341
Magnificent Brand New Lux 3BR with Burj/ Fnt View,"Dubai, ARE",Dubai,None,9.5,31,25.193479,55.281317
Nuran Marina,"Dubai, ARE",Dubai,None,8.9,2873,25.074638,55.13698
Durrani Homes - Heaven On Earth- Burj Khalifa Fireworks,"Dubai, ARE",Dubai,None,9,198,25.195126,55.276352
GOODWOOD SUITES HOMES VACATION,"Dubai, ARE",Dubai,None,9,181,25.236363,55.413537
Pullman Sharjah,"Sharjah, ARE",Sharjah,None,8.9,3861,25.313628,55.375589
Radisson Beach Resort Palm Jumeirah,"Dubai, ARE",Dubai,None,8.9,7017,25.108361,55.141982
"Crowne Plaza Dubai Marina, an IHG Hotel","Dubai, ARE",Dubai,None,8.9,3285,25.075388,55.139031
Edge Creekside Hotel,"Dubai, ARE",Dubai,None,8.9,3525,25.258989,55.321899
Rove Expo City,"Dubai, ARE",Dubai,None,8.9,5132,24.960774,55.14965
DAMAC Maison Distinction,"Dubai, ARE",Dubai,None,8.9,4822,25.187962,55.279767
Rove At The Park,"Dubai, ARE",Dubai,None,8.9,5376,24.910864,55.013579
STAY BY LATINEM Luxury 2BR Holiday Home CV A1409 near Burj Khalifa,"Dubai, ARE",Dubai,None,9.3,47,25.17944,55.305255
"Hotel Indigo Dubai Downtown, an IHG Hotel","Dubai, ARE",Dubai,None,8.9,2983,25.19265,55.286619
"Great view, Dubai SportCity, parking included, nice Apartments","Dubai, ARE",Dubai,None,9.4,37,25.035794,55.2225
"JBR, 2-bedroom, next to beach, full marina view","Dubai, ARE",Dubai,None,9.2,60,25.072306,55.130229
DoubleTree by Hilton Dubai - Business Bay,"Dubai, ARE",Dubai,None,8.9,3784,25.186639,55.280113
"Zabeel House by Jumeirah, The Greens","Dubai, ARE",Dubai,None,8.9,1786,25.096771,55.169157
FIRST CLASS 3BR with full BURJ KHALIFA VIEW,"Dubai, ARE",Dubai,None,9.3,45,25.19838,55.271507
"W Dubai - Mina Seyahi, Adults Only","Dubai, ARE",Dubai,None,8.9,1655,25.091517,55.14663
"InterContinental Residence Suites Dubai Festival City, an IHG Hotel","Dubai, ARE",Dubai,None,8.9,1493,25.231794,55.346932
FIRST CLASS 3BR with full BURJ KHALIFA and FOUNTAIN VIEW,"Dubai, ARE",Dubai,None,9.1,83,25.198656,55.27137
Lavish & Equipped oceanfront 2 BR facing Ain Dubai,"Dubai, ARE",Dubai,None,9.8,20,25.079668,55.121745
Grayton Hotel by Blazon Hotels,"Dubai, ARE",Dubai,None,8.9,2239,25.252878,55.296642
"Vida Dubai Marina & Yacht Club , Hotel and Residences , Luxurious 2BR","Dubai, ARE",Dubai,None,9.8,20,25.072257,55.13586
Vida Emirates Hills,"Dubai, ARE",Dubai,None,8.9,1222,25.07898,55.157163
FIRST CLASS 2BR with full DUBAI SKYLINE & SEA view,"Dubai, ARE",Dubai,None,9.2,57,25.198683,55.271587
"Marriott Resort Palm Jumeirah, Dubai","Dubai, ARE",Dubai,None,8.9,1215,25.106905,55.145717
"Staybridge Suites Dubai Internet City, an IHG Hotel","Dubai, ARE",Dubai,None,8.9,1190,25.10173,55.171315
DAMAC Maison Cour Jardin,"Dubai, ARE",Dubai,None,8.9,2277,25.187785,55.26726
The Westin Dubai Mina Seyahi Beach Resort and Waterpark,"Dubai, ARE",Dubai,None,8.9,1172,25.092556,55.149157
FIRST CLASS 2BR with full DUBAI SKYLINE & SEA view,"Dubai, ARE",Dubai,None,9.5,30,25.198677,55.271658
NH Collection Dubai The Palm,"Dubai, ARE",Dubai,None,8.9,2211,25.111531,55.138584
Al Habtoor Palace,"Dubai, ARE",Dubai,None,8.9,822,25.18324,55.253999
Elegant Apt With Balcony Minutes from Burj Khalifa,"Dubai, ARE",Dubai,None,9.5,28,25.191614,55.270484
Breathtaking City Views From DT Apt with Terrace,"Dubai, ARE",Dubai,None,9.2,56,25.193072,55.269285
izzzilife Mint,"Dubai, ARE",Dubai,None,9,113,25.047037,55.200609
Luxury 3 BR - Direct View to Burj Khalifa,"Dubai, ARE",Dubai,None,9.4,34,25.186654,55.277485
Stunning 5* 4BR-Oceanfront-Apartment,"Dubai, ARE",Dubai,None,9.3,43,25.073051,55.128157
Superb New 2BR l High Floor l by Burj Khalifa & Dubai Mall I Pool I Gym,"Dubai, ARE",Dubai,None,9.8,19,25.192785,55.271689
STAY BY LATINEM Luxury 1BR Holiday Home CV A2604 near Burj Khalifa,"Dubai, ARE",Dubai,None,9.3,39,25.179386,55.305243
Two Continents Holiday Homes - Sea & Palm View Elegant 1 Bedroom Apartment,"Dubai, ARE",Dubai,None,9.6,25,25.088651,55.14681
Shada Hotel - فندق شدا,"Dubai, ARE",Dubai,None,9.1,73,25.222794,55.278312
Luxury JBR · Marina View · 5* Beach Resorts Access,"Dubai, ARE",Dubai,None,8.9,367,25.077916,55.134137
Dulive,"Dubai, ARE",Dubai,None,9,147,25.081242,55.145122
Elegant 2+1 BR with Fantastic Views of Ain Dubai,"Dubai, ARE",Dubai,None,9.6,24,25.079621,55.12241
Neyar Beach Vibes,"Dubai, ARE",Dubai,None,9,126,25.080311,55.1379
Ultra Luxury Wasl 1 Residences Zabeel Park,"Dubai, ARE",Dubai,None,9.4,33,25.223054,55.306055
Island Paradise - Stylish 2BR on Bluewaters Island,"Dubai, ARE",Dubai,None,9.7,22,25.079619,55.121852
FIRST CLASS 2BR with full BURJ KHALIFA view,"Dubai, ARE",Dubai,None,9.3,40,25.191343,55.279293
"Jumeirah Beach Residents, Sadaf 7","Dubai, ARE",Dubai,None,9.1,77,25.08134,55.138549
Luxury Casa - Gem Marina View Apartment 1-bedroom JBR Beach,"Dubai, ARE",Dubai,None,9.2,45,25.082287,55.138642
DAMAC Maison Mall Street,"Dubai, ARE",Dubai,None,8.8,4760,25.195929,55.284348
Taj Jumeirah Lakes Towers,"Dubai, ARE",Dubai,None,8.8,4256,25.080464,55.154024
Moonlight Hostel JBR,"Dubai, ARE",Dubai,None,9,107,25.072111,55.130567
The First Collection Business Bay,"Dubai, ARE",Dubai,None,8.8,11035,25.177995,55.267875
FAM Living - Beach Escapes in Palm Jumeirah,"Dubai, ARE",Dubai,None,8.9,227,25.140152,55.137506
"Dubai Marina - 5 bedroom, resort feel, great Amenities","Dubai, ARE",Dubai,None,9.3,38,25.072053,55.137129
Premier Inn Dubai Barsha Heights,"Dubai, ARE",Dubai,None,8.8,4569,25.097575,55.180103
