address,description,store,thumb,id,distance,address2,city,state,zip,country,lat,lng,phone,fax,email,hours,url
Al Jowhara Tower Corniche,"
<p><strong>Convenience</strong></p>
",SPAR JOWHARA,,937,6448.1,Abu Dhabi Tourist Club Area 833,Abu Dhabi,,,United Arab Emirates,24.50316,54.37024,(02) 565 9169 / (02) 446 4118,,customerservice@adcoops.com,"<table role=""presentation"" class=""wpsl-opening-hours""><tr><td>Monday</td><td><time>6:00 AM - 12:00 AM</time></td></tr><tr><td>Tuesday</td><td><time>6:00 AM - 12:00 AM</time></td></tr><tr><td>Wednesday</td><td><time>6:00 AM - 12:00 AM</time></td></tr><tr><td>Thursday</td><td><time>6:00 AM - 12:00 AM</time></td></tr><tr><td>Friday</td><td><time>6:00 AM - 12:00 AM</time></td></tr><tr><td>Saturday</td><td><time>6:00 AM - 12:00 AM</time></td></tr><tr><td>Sunday</td><td><time>6:00 AM - 12:00 AM</time></td></tr></table>",https://abudhabicoop.com/
Zayed 1st Street,"
<p> <strong>Supermarket</strong> </p>
",COOP ZAYED 1ST,,961,6448.2,,Abu Dhabi,,,United Arab Emirates,24.49303,54.37426,(02) 678 1999 / (02) 643 7213,,customerservice@adcoops.com,"<table role=""presentation"" class=""wpsl-opening-hours""><tr><td>Monday</td><td><time>12:00 AM - 12:00 AM</time></td></tr><tr><td>Tuesday</td><td><time>12:00 AM - 12:00 AM</time></td></tr><tr><td>Wednesday</td><td><time>12:00 AM - 12:00 AM</time></td></tr><tr><td>Thursday</td><td><time>12:00 AM - 12:00 AM</time></td></tr><tr><td>Friday</td><td><time>12:00 AM - 12:00 AM</time></td></tr><tr><td>Saturday</td><td><time>12:00 AM - 12:00 AM</time></td></tr><tr><td>Sunday</td><td><time>12:00 AM - 12:00 AM</time></td></tr></table>",https://abudhabicoop.com/
SPAR Electra,"
<p>  <strong>Convenience</strong> </p>
",SPAR ELECTRA,,1002,6448.4,,Abu Dhabi,,,United Arab Emirates,24.49571,54.37561,(02) 677 0777,,customerservice@adcoops.com,"<table role=""presentation"" class=""wpsl-opening-hours""><tr><td>Monday</td><td><time>8:00 AM - 12:00 AM</time></td></tr><tr><td>Tuesday</td><td><time>8:00 AM - 12:00 AM</time></td></tr><tr><td>Wednesday</td><td><time>8:00 AM - 12:00 AM</time></td></tr><tr><td>Thursday</td><td><time>8:00 AM - 12:00 AM</time></td></tr><tr><td>Friday</td><td><time>8:00 AM - 12:00 AM</time></td></tr><tr><td>Saturday</td><td><time>8:00 AM - 12:00 AM</time></td></tr><tr><td>Sunday</td><td><time>8:00 AM - 12:00 AM</time></td></tr></table>",https://abudhabicoop.com/
Plaza 30,"
<p><strong>Supermarket</strong></p>
",COOP PLAZA 30,,972,6448.5,,Abu Dhabi,,,United Arab Emirates,24.471335,54.385025,(02) 631 0563,,customerservice@adcoops.com,"<table role=""presentation"" class=""wpsl-opening-hours""><tr><td>Monday</td><td><time>8:00 AM - 12:00 AM</time></td></tr><tr><td>Tuesday</td><td><time>8:00 AM - 12:00 AM</time></td></tr><tr><td>Wednesday</td><td><time>8:00 AM - 12:00 AM</time></td></tr><tr><td>Thursday</td><td><time>8:00 AM - 12:00 AM</time></td></tr><tr><td>Friday</td><td><time>8:00 AM - 12:00 AM</time></td></tr><tr><td>Saturday</td><td><time>8:00 AM - 12:00 AM</time></td></tr><tr><td>Sunday</td><td><time>8:00 AM - 12:00 AM</time></td></tr></table>",https://abudhabicoop.com/
Abu Dhabi Coop Mina,"
<p> <strong>Hypermarket</strong> </p>
",COOP MINA,,893,6448.7,,Abu Dhabi,,,United Arab Emirates,24.51954,54.37147,(02) 673 4848,,customerservice@adcoops.com,"<table role=""presentation"" class=""wpsl-opening-hours""><tr><td>Monday</td><td><time>8:00 AM - 12:00 AM</time></td></tr><tr><td>Tuesday</td><td><time>8:00 AM - 12:00 AM</time></td></tr><tr><td>Wednesday</td><td><time>8:00 AM - 12:00 AM</time></td></tr><tr><td>Thursday</td><td><time>8:00 AM - 12:00 AM</time></td></tr><tr><td>Friday</td><td><time>8:00 AM - 12:00 AM</time></td></tr><tr><td>Saturday</td><td><time>8:00 AM - 12:00 AM</time></td></tr><tr><td>Sunday</td><td><time>8:00 AM - 12:00 AM</time></td></tr></table>",https://abudhabicoop.com/
Abu Dhabi Mall,"
<p> <strong>Hypermarket</strong> </p>
",COOP ABU DHABI MALL,,771,6449.1,,Abu Dhabi,,,United Arab Emirates,24.4966,54.38265,(02) 645-9777,,customerservice@adcoops.com,"<table role=""presentation"" class=""wpsl-opening-hours""><tr><td>Monday</td><td><time>8:00 AM - 12:00 AM</time></td></tr><tr><td>Tuesday</td><td><time>8:00 AM - 12:00 AM</time></td></tr><tr><td>Wednesday</td><td><time>8:00 AM - 12:00 AM</time></td></tr><tr><td>Thursday</td><td><time>8:00 AM - 12:00 PM</time></td></tr><tr><td>Friday</td><td><time>8:00 AM - 12:00 AM</time></td></tr><tr><td>Saturday</td><td><time>8:00 AM - 12:00 AM</time></td></tr><tr><td>Sunday</td><td><time>8:00 AM - 12:00 AM</time></td></tr></table>",https://abudhabicoop.com/
Al Zahiya,"
<p>  <strong>Convenience</strong> </p>
",SPAR AL ZAHIYA,,1004,6449.2,,Abu Dhabi,,,United Arab Emirates,24.49374,54.3846,(02) 441 4808,,customerservice@adcoops.com,"<table role=""presentation"" class=""wpsl-opening-hours""><tr><td>Monday</td><td><time>8:00 AM - 12:00 AM</time></td></tr><tr><td>Tuesday</td><td><time>8:00 AM - 12:00 AM</time></td></tr><tr><td>Wednesday</td><td><time>8:00 AM - 12:00 AM</time></td></tr><tr><td>Thursday</td><td><time>8:00 AM - 12:00 AM</time></td></tr><tr><td>Friday</td><td><time>8:00 AM - 12:00 AM</time></td></tr><tr><td>Saturday</td><td><time>8:00 AM - 12:00 AM</time></td></tr><tr><td>Sunday</td><td><time>8:00 AM - 12:00 AM</time></td></tr></table>",https://abudhabicoop.com/
Makani MBZ Z-7,"
<p> <strong>Supermarket</strong> </p>
",COOP MAKANI MBZ Z-7,,951,6449.6,,Abu Dhabi,,,United Arab Emirates,24.510502,54.383231,(02) 553 2120,,customerservice@adcoops.com,"<table role=""presentation"" class=""wpsl-opening-hours""><tr><td>Monday</td><td><time>8:00 AM - 12:00 AM</time></td></tr><tr><td>Tuesday</td><td><time>8:00 AM - 12:00 AM</time></td></tr><tr><td>Wednesday</td><td><time>8:00 AM - 12:00 AM</time></td></tr><tr><td>Thursday</td><td><time>8:00 AM - 12:00 AM</time></td></tr><tr><td>Friday</td><td><time>8:00 AM - 12:00 AM</time></td></tr><tr><td>Saturday</td><td><time>8:00 AM - 12:00 AM</time></td></tr><tr><td>Sunday</td><td><time>8:00 AM - 12:00 AM</time></td></tr></table>",https://abudhabicoop.com/
Muroor College,"
<p><strong>Convenience</strong></p>
",COOP POLICE MUROOR (COLLEGE),,982,6450.9,,Abu Dhabi,,,United Arab Emirates,24.43869,54.42051,(02) 448-8269,,customerservice@adcoops.com,"<table role=""presentation"" class=""wpsl-opening-hours""><tr><td>Monday</td><td><time>8:00 AM - 12:00 AM</time></td></tr><tr><td>Tuesday</td><td><time>8:00 AM - 12:00 AM</time></td></tr><tr><td>Wednesday</td><td><time>8:00 AM - 12:00 AM</time></td></tr><tr><td>Thursday</td><td><time>8:00 AM - 12:00 AM</time></td></tr><tr><td>Friday</td><td><time>8:00 AM - 12:00 AM</time></td></tr><tr><td>Saturday</td><td><time>8:00 AM - 12:00 AM</time></td></tr><tr><td>Sunday</td><td><time>8:00 AM - 12:00 AM</time></td></tr></table>",https://abudhabicoop.com/
Omega Tower,"
<p>  <strong>Convenience</strong> </p>
",SPAR OMEGA TOWER,,1006,6451.3,,Abu Dhabi,,,United Arab Emirates,24.499085,54.405050,(02) 679-8353,,customerservice@adcoops.com,"<table role=""presentation"" class=""wpsl-opening-hours""><tr><td>Monday</td><td><time>7:00 AM - 12:00 AM</time></td></tr><tr><td>Tuesday</td><td><time>7:00 AM - 12:00 AM</time></td></tr><tr><td>Wednesday</td><td><time>7:00 AM - 12:00 AM</time></td></tr><tr><td>Thursday</td><td><time>7:00 AM - 12:00 AM</time></td></tr><tr><td>Friday</td><td><time>7:00 AM - 12:00 AM</time></td></tr><tr><td>Saturday</td><td><time>7:00 AM - 12:00 AM</time></td></tr><tr><td>Sunday</td><td><time>7:00 AM - 12:00 AM</time></td></tr></table>",https://abudhabicoop.com/
Abu Dhabi Coop - Muroor,"
<p><strong>Hypermarket</strong></p>
",COOP MUROOR,,947,6452.6,,Abu Dhabi,,,United Arab Emirates,24.43362,54.43968,02-44898200,,customerservice@adcoops.com,"<table role=""presentation"" class=""wpsl-opening-hours""><tr><td>Monday</td><td><time>12:00 AM - 12:00 AM</time></td></tr><tr><td>Tuesday</td><td><time>12:00 AM - 12:00 AM</time></td></tr><tr><td>Wednesday</td><td><time>12:00 AM - 12:00 AM</time></td></tr><tr><td>Thursday</td><td><time>12:00 AM - 12:00 AM</time></td></tr><tr><td>Friday</td><td><time>12:00 AM - 12:00 AM</time></td></tr><tr><td>Saturday</td><td><time>12:00 AM - 12:00 AM</time></td></tr><tr><td>Sunday</td><td><time>12:00 AM - 12:00 AM</time></td></tr></table>",https://abudhabicoop.com/
Dhafeer Street - 31st St - Abu Dhabi,"
<p><strong>Hypermarket</strong></p>
",Abu Dhabi Co-operative Society &#8211; Muroor Branch,,891,6453,,Abu Dhabi,,,United Arab Emirates,24.443535,54.440122,800 232 6677 (800 ADCOOPS),,customerservice@adcoops.com,"<table role=""presentation"" class=""wpsl-opening-hours""><tr><td>Monday</td><td><time>12:00 AM - 12:00 AM</time></td></tr><tr><td>Tuesday</td><td><time>12:00 AM - 12:00 AM</time></td></tr><tr><td>Wednesday</td><td><time>12:00 AM - 12:00 AM</time></td></tr><tr><td>Thursday</td><td><time>12:00 AM - 12:00 AM</time></td></tr><tr><td>Friday</td><td><time>12:00 AM - 12:00 AM</time></td></tr><tr><td>Saturday</td><td><time>12:00 AM - 12:00 AM</time></td></tr><tr><td>Sunday</td><td><time>12:00 AM - 12:00 AM</time></td></tr></table>",
Police Al Maqta,"
<p> <strong>Convenience</strong> </p>
",COOP POLICE AL MAQTA,,976,6457.2,,Abu Dhabi,,,United Arab Emirates,24.417937,54.492055,800 232 6677 (800 ADCOOPS),,customerservice@adcoops.com,"<table role=""presentation"" class=""wpsl-opening-hours""><tr><td>Monday</td><td><time>8:00 AM - 12:00 AM</time></td></tr><tr><td>Tuesday</td><td><time>8:00 AM - 12:00 AM</time></td></tr><tr><td>Wednesday</td><td><time>8:00 AM - 12:00 AM</time></td></tr><tr><td>Thursday</td><td><time>8:00 AM - 12:00 AM</time></td></tr><tr><td>Friday</td><td><time>8:00 AM - 12:00 AM</time></td></tr><tr><td>Saturday</td><td><time>8:00 AM - 12:00 AM</time></td></tr><tr><td>Sunday</td><td><time>8:00 AM - 12:00 AM</time></td></tr></table>",https://abudhabicoop.com/
Bail Al Jasrain,"
<p> <strong>Supermarket</strong> </p>
",COOP BAIN AL JASRAIN,,949,6457.8,,Abu Dhabi,,,United Arab Emirates,24.414333,54.499194,(02) 444 1032,,customerservice@adcoops.com,"<table role=""presentation"" class=""wpsl-opening-hours""><tr><td>Monday</td><td><time>12:00 AM - 12:00 AM</time></td></tr><tr><td>Tuesday</td><td><time>12:00 AM - 12:00 AM</time></td></tr><tr><td>Wednesday</td><td><time>12:00 AM - 12:00 AM</time></td></tr><tr><td>Thursday</td><td><time>12:00 AM - 12:00 AM</time></td></tr><tr><td>Friday</td><td><time>12:00 AM - 12:00 AM</time></td></tr><tr><td>Saturday</td><td><time>12:00 AM - 12:00 AM</time></td></tr><tr><td>Sunday</td><td><time>12:00 AM - 12:00 AM</time></td></tr></table>",https://abudhabicoop.com/
Khalifa City A,"
<p><strong>Hypermarket</strong></p>
",SPAR KHALIFA CITY A,,929,6464.4,,Abu Dhabi,,,United Arab Emirates,24.40654,54.56923,(02) 557-7877,,customerservice@adcoops.com,"<table role=""presentation"" class=""wpsl-opening-hours""><tr><td>Monday</td><td><time>8:00 AM - 12:00 AM</time></td></tr><tr><td>Tuesday</td><td><time>8:00 AM - 12:00 AM</time></td></tr><tr><td>Wednesday</td><td><time>8:00 AM - 12:00 AM</time></td></tr><tr><td>Thursday</td><td><time>8:00 AM - 12:00 AM</time></td></tr><tr><td>Friday</td><td><time>8:00 AM - 12:00 AM</time></td></tr><tr><td>Saturday</td><td><time>8:00 AM - 12:00 AM</time></td></tr><tr><td>Sunday</td><td><time>8:00 AM - 12:00 AM</time></td></tr></table>",https://abudhabicoop.com/
Makani Khalifa City SE-13,"
<p> <strong>Supermarket</strong> </p>
",COOP MAKANI KHALIFA CITY SE-13,,954,6465.7,,Abu Dhabi,,,United Arab Emirates,24.419962,54.578616,(02) 556 7887,,customerservice@adcoops.com,"<table role=""presentation"" class=""wpsl-opening-hours""><tr><td>Monday</td><td><time>8:00 AM - 12:00 AM</time></td></tr><tr><td>Tuesday</td><td><time>8:00 AM - 12:00 AM</time></td></tr><tr><td>Wednesday</td><td><time>8:00 AM - 12:00 AM</time></td></tr><tr><td>Thursday</td><td><time>8:00 AM - 12:00 AM</time></td></tr><tr><td>Friday</td><td><time>8:00 AM - 12:00 AM</time></td></tr><tr><td>Saturday</td><td><time>8:00 AM - 12:00 AM</time></td></tr><tr><td>Sunday</td><td><time>8:00 AM - 12:00 AM</time></td></tr></table>",https://abudhabicoop.com/
Shamkha,"
<p><strong>Hypermarket</strong></p>
",SPAR SHAMKHA,,935,6478.7,,Abu Dhabi,,,United Arab Emirates,24.38692,54.72266,(02) 584-5845,,customerservice@adcoops.com,"<table role=""presentation"" class=""wpsl-opening-hours""><tr><td>Monday</td><td><time>8:00 AM - 12:00 AM</time></td></tr><tr><td>Tuesday</td><td><time>8:00 AM - 12:00 AM</time></td></tr><tr><td>Wednesday</td><td><time>8:00 AM - 12:00 AM</time></td></tr><tr><td>Thursday</td><td><time>8:00 AM - 12:00 AM</time></td></tr><tr><td>Friday</td><td><time>8:00 AM - 12:00 AM</time></td></tr><tr><td>Saturday</td><td><time>8:00 AM - 12:00 AM</time></td></tr><tr><td>Sunday</td><td><time>8:00 AM - 12:00 AM</time></td></tr></table>",https://abudhabicoop.com/
Al Falah A,"
<p> <strong>Convenience</strong></p>
",SPAR AL FALAH A,,1018,6479.3,,Abu Dhabi,,,United Arab Emirates,24.44188,54.71142,(02) 555-2828,,customerservice@adcoops.com,"<table role=""presentation"" class=""wpsl-opening-hours""><tr><td>Monday</td><td><time>8:00 AM - 12:00 AM</time></td></tr><tr><td>Tuesday</td><td><time>8:00 AM - 12:00 AM</time></td></tr><tr><td>Wednesday</td><td><time>8:00 AM - 12:00 AM</time></td></tr><tr><td>Thursday</td><td><time>8:00 AM - 12:00 AM</time></td></tr><tr><td>Friday</td><td><time>8:00 AM - 12:00 AM</time></td></tr><tr><td>Saturday</td><td><time>8:00 AM - 12:00 AM</time></td></tr><tr><td>Sunday</td><td><time>8:00 AM - 12:00 AM</time></td></tr></table>",https://abudhabicoop.com/
