id,area,city,city_cd,address,phone,shop_name,shop_type,shop_rank,brand_ids,image,latitude,longitude,annot,msg_title,fair,fair_url
20260,Abu Dhabi,Abu Dhabi,Abu Dhabi,"Second Floor, Yas Mall",,Virgin Megastore,,D,"{1,2}","{'','','','','','','','','',''}",24.488262,54.608862,,,,
20261,Abu Dhabi,Abu Dhabi,Abu Dhabi,"Second Floor, Yas Mall",02-6267721,ON Time,,D,"{1,2}","{'','','','','','','','','',''}",24.488575,54.609334,,,,
20263,Abu Dhabi,Abu Dhabi,Abu Dhabi,"Second Floor, Yas MAll",02-5651329,The Watch House,,D,{},"{'','','','','','','','','',''}",24.495839,54.604012,,,,
20268,Abu Dhabi,Abu Dhabi,Abu Dhabi,BANIYAS STREET,04-2289593,The Watch House,,D,"{1,2}","{'','','','','','','','','',''}",25.2601986,55.3164721,,,,
23018,Abu Dhabi,Abu Dhabi,Abu Dhabi,"Ground Floor, Opp of Rivoli next to Malbar Gold, Al Wahda Mall",02-4437021,The Watch House,,D,"{1,2,4,5,8}","{'','','','','','','','','',''}",24.4710644,54.3726572,,,,
23019,Abu Dhabi,Abu Dhabi,Abu Dhabi,"Ground Floor, Hamdan Centre",02-6329254,Al Futtaim Watches and Jewellery ,,D,"{1,2,4,5,8}","{'','','','','','','','','',''}",24.489102,54.363194,,,,
23020,Abu Dhabi,Abu Dhabi,Abu Dhabi,"First Floor, Shop no 84B, Abu Dhabi Mall",02-6452001,The Watch House,,D,"{1,2,4,5,8}","{'','','','','','','','','',''}",24.49704,54.382543,,,,
23021,Abu Dhabi,Abu Dhabi,Abu Dhabi,"Second Floor, Mushrif Mall",02-6737560,The Watch House,,D,"{1,2,4,5}","{'','','','','','','','','',''}",24.434691,54.412562,,,,
23022,Abu Dhabi,Abu Dhabi,Abu Dhabi,"Ground Floor  - Shop No GH69 D, Marina Mall,  Abu Dhabi Cornish",02-6811665,The Watch House,,D,"{1,2,4,5,8}","{'','','','','','','','','',''}",24.476076,54.321513,,,,
20270,Abu Dhabi,Al Ain,Al Ain,"First Floor, Jimmi Mall",,Virgin Megastore,,D,"{1,2}","{'','','','','','','','','',''}",24.244398,55.727189,,,,
20271,Abu Dhabi,Al Ain,Al Ain,"Ground Floor, Jimi Mall",03-7633970,The Watch House,,D,{},"{'','','','','','','','','',''}",24.243726,55.726737,,,,
23024,Ajman,Ajman,Ajman,"Ground Floor, Store No A13Ajman City Center",06-7480030,The Watch House,,D,"{1,2,4,5,8}","{'','','','','','','','','',''}",25.39965,55.479135,,,,
23015,Dubai,Dubai,Dubai,"First Floor, Lulu Hypermarket, Al Barsha",056-188 1613,Time House,,,"{1,2,4,5}","{'','','','','','','','','',''}",25.117184,55.205395,,,,
23016,Dubai,Dubai,Dubai,"First Floor, Lulu Hypermarket, Al Warqa",056-1881639,Time House,,,"{1,2,4,5}","{'','','','','','','','','',''}",25.2790972,55.3536496,,,,
23017,Dubai,Dubai,Dubai,"Ground Floor, Lulu Hypermarket, Al Qusais",056-1881623,Time House,,,"{1,2,4,5}","{'','','','','','','','','',''}",25.2790975,55.3602157,,,,
19386,Dubai,Dubai,Dubai,Mall Of Emirates,+971 4 341 4353,Virgin Mega store,,D,{8},"{'','','','','','','','','',''}",25.118107,55.200608,,,,
19387,Dubai,Dubai,Dubai,Dubai Mall,+971 4 325 3330,Virgin Mega store,,D,{8},"{'','','','','','','','','',''}",25.198518,55.279619,,,,
20275,Dubai,Dubai,Dubai,"1st Floor, Deira City Centre",04-2953809,Watches Corner,,D,"{1,2,4,5,8}","{'','','','','','','','','',''}",25.251966,55.332803,,,,
20276,Dubai,Dubai,Dubai,"Ground Floor, Dubai Mall",04-4341255,Watches Corner,,D,"{1,2,4,5,8}","{'','','','','','','','','',''}",25.198518,55.279619,,,,
20277,Dubai,Dubai,Dubai,"Ground Floor, Dubai Mall",44341244,Treasure Palace,,D,"{1,2,4,5}","{'','','','','','','','','',''}",25.198518,55.279619,,,,
