atmid,country,city,branch,location,latitude,longitude,branchtype,timings,facilities,pobox,phone,fax,insdate
1092,United Arab Emirates,Abu Dhabi,ADNOC Station - Al Samah,"Sheikh Zayed Road, Al Samha, Station ID 887, Samha area from Abu Dhabi to Dubai",24.669687,54.762404,ATM,,Cash Withdrawal,,600 50 2030,,01/01/0001
1093,United Arab Emirates,Abu Dhabi,Al Qana Maqtaa,"Al Qana, Al Maqta, Abu Dhabi",24.401936473824,54.4972700120345,ATM,,Cash Withdrawal,,600 50 2030,,01/01/0001
1096,United Arab Emirates,Abu Dhabi,Khalifa Medical Center,"Al Karamah Street, Sheikh Khalifa Medical City ",24.469191,54.36385,ATM,,Cash Withdrawal,,600 50 2030,,01/01/0001
1098,United Arab Emirates,Abu Dhabi,Najda Street,"Fatima Bint Mubarak Street, Near La Brioche",24.484564,54.375214,ATM,,Cash Withdrawal,,600 50 2030,,01/01/0001
113,United Arab Emirates,Abu Dhabi,GASCO Head Office Branch ATMs ,"Al Danah, Khalifa Bin Zayed Street, Sheikh Khalifa Energy Complex, Ground level",24.497761,54.366612,ATM,,Cash Withdrawal / Cash Deposit / Cheque Deposit,,600 50 2030,,01/01/0001
113,United Arab Emirates,Abu Dhabi,GASCO Head Office Branch,"Al Danah, Khalifa Bin Zayed Street, Sheikh Khalifa Energy Complex, Ground level",24.497761,54.366612,Branch,08:00 AM - 03:00 PM Monday to Thursday <br/>08:00 AM - 12:00 PM on Friday <br/>Closed on Saturday and Sunday,"Teller Transaction / Customer Service / ATM Services (Cash withdrawals, Cash & Cheque Deposits)",48332 Abu Dhabi,+971 2 4067555,,01/01/0001
1194,United Arab Emirates,Abu Dhabi,ADNOC Station - Al Mirfa City,"Al Mirfa area, ADNOC 746 - Al Mirfa",24.0869079,53.483265,ATM,,Cash Withdrawal,,600 50 2030,,01/01/0001
1195,United Arab Emirates,Abu Dhabi,ADNOC Station - Al Marfaq ,"ADNOC 171 Al Mafraq, Sheikh Maktoum Bin Rashid Road, Opposite Mafraq Hospital، Baniyas East - Abu Dhabi",24.3210298,54.6107723,ATM,,Cash Withdrawal,,600 50 2030,,01/01/0001
152,United Arab Emirates,Abu Dhabi,Zayed Town Branch ATMs ,"Madinat Zayed, Tarif -Liwa Road, ADCB Building",23.659708,53.701574,ATM,,Cash Withdrawal / Cash Deposit / Cheque Deposit,,600 50 2030,,01/01/0001
152,United Arab Emirates,Abu Dhabi,Madinat Zayed Branch,"Madinat Zayed, Tarif -Liwa Road, ADCB Building",23.659708,53.7015740,Branch,08:00 AM - 03:00 PM Monday to Thursday & Saturday <br/>​08:00 AM - 12:00 PM on Friday <br/>Closed on Sunday,"Teller Transaction / Customer Service / ATM Services (Cash withdrawals, Cash & Cheque Deposits)",50013 Abu Dhabi,+971 2 6148350,,01/01/0001
153,United Arab Emirates,Abu Dhabi,Al Shahama Branch ATMs ,Sheikh Maktoum Bin Rashid Road -Dubai-Abu Dhabi road - ADCB Building,24.5539139,54.6940797,ATM,,Cash Withdrawal / Cash Deposit / Cheque Deposit,,600 50 2030,,01/01/0001
153,United Arab Emirates,Abu Dhabi,Al Shahama Branch,"Sheikh Maktoum Bin Rashid Road -Dubai-Abu Dhabi road, ADCB Building",24.5539139,54.6940797,Branch,08:00 AM - 03:00 PM Monday to Thursday & Saturday <br/>​08:00 AM - 12:00 PM on Friday <br/>Closed on Sunday,"Teller Transaction / Customer Service / ATM Services (Cash withdrawals, Cash & Cheque Deposits)",76122 Abu Dhabi,+971 2 5016200,,01/01/0001
154,United Arab Emirates,Abu Dhabi,Ruwais Branch ATMs ,"Al Ruwais City, Ruwais Housing Complex, Central Market, Sheikh Zayed Road",24.088663,52.648450,ATM,,Cash Withdrawal / Cash Deposit / Cheque Deposit,,600 50 2030,,01/01/0001
154,United Arab Emirates,Abu Dhabi,Ruwais Branch,"Al Ruwais City, Ruwais Housing Complex, Central Market, Sheikh Zayed Road",24.088663,52.648450,Branch,08:00 AM - 03:00 PM Monday to Thursday & Saturday <br/>​08:00 AM - 12:00 PM on Friday <br/>Closed on Sunday,"Teller Transaction / Customer Service / ATM Services (Cash withdrawals, Cash & Cheque Deposits)",11851 Abu Dhabi,+971 2 6148375,,01/01/0001
155,United Arab Emirates,Abu Dhabi,Mussafah Branch ATMs ,"Mussaffah, Mussaffah Industrial area - M2, ADCB Building",24.3777,54.5223,ATM,,Cash Withdrawal / Cash Deposit / Cheque Deposit,,600 50 2030,,01/01/0001
155,United Arab Emirates,Abu Dhabi,Mussafah Branch,"Mussaffah, Mussaffah Industrial area - M2, ADCB Building",24.3777,54.5223,Branch,08:00 AM - 03:00 PM Monday to Thursday & Saturday <br/>​08:00 AM - 12:00 PM on Friday <br/>Closed on Sunday,"Teller Transaction / Customer Service / ATM Services (Cash withdrawals, Cash & Cheque Deposits)",9331 Abu Dhabi,+971 2 4014550,,01/01/0001
156,United Arab Emirates,Abu Dhabi,Gayathi Branch ATMs ,"Al Ruwais Road, Near Gayathi Ahalia Medical Centre, Al Gayathi Area",23.8430112,52.8084331,ATM,,Cash Withdrawal / Cash Deposit / Cheque Deposit,,600 50 2030,,01/01/0001
156,United Arab Emirates,Abu Dhabi,Gayathi Branch,"Al Ruwais Road, Near Gayathi Ahalia Medical Centre, Al Gayathi Area",23.8430112,52.8084331,Branch,08:00 AM - 03:00 PM Monday to Thursday & Saturday <br/>​08:00 AM - 12:00 PM on Friday <br/>Closed on Sunday,"Teller Transaction / Customer Service / ATM Services (Cash withdrawals, Cash & Cheque Deposits)",77731 Abu Dhabi,+971 2 6148325,,01/01/0001
157,United Arab Emirates,Abu Dhabi,Baya Al Sila Branch ATMs ,"Al Sila'a, Abu Dhabi - Ghweifat Highway, Near Tam Centre, ADCB Building",24.061081,51.762096,ATM,,Cash Withdrawal / Cash Deposit / Cheque Deposit,,600 50 2030,,01/01/0001
157,United Arab Emirates,Abu Dhabi,Baya Al Sila Branch,"Al Sila'a, Abu Dhabi - Ghweifat Highway, Near Tam Centre, ADCB Building",24.061081,51.762096,Branch,08:00 AM - 01:30 PM Monday to Thursday & Saturday <br/>​08:00 AM - 12:00 PM on Friday <br/>Closed on Sunday,"Teller Transaction / Customer Service / ATM Services (Cash withdrawals, Cash & Cheque Deposits)",76889 Abu Dhabi,+971 2 6148275,,01/01/0001
158,United Arab Emirates,Abu Dhabi,Dalma Mall Branch ATMs ,"Musaffah Main road, Al Wazn Street, Dalma Mall First  Floor",24.3331,54.5239,ATM,,Cash Withdrawal / Cash Deposit / Cheque Deposit,,600 50 2030,,01/01/0001
158,United Arab Emirates,Abu Dhabi,Dalma Mall Branch,"Musaffah Main road, Al Wazn Street, Dalma Mall, First  Floor",24.3331,54.5239,Branch,10:00 AM - 09:00 PM Monday to Thursday & Saturday <br/> 03:00 PM - 09:00 PM on Friday<br/> Closed on Sunday,"Teller Transaction / Customer Service / ATM Services (Cash withdrawals, Cash & Cheque Deposits)",39260 Abu Dhabi,+971 2 6591350,,01/01/0001
159,United Arab Emirates,Abu Dhabi,Khalifa City A Branch ATMs ,"Khalifa City A, Villa 4, 16th Street South East 1, next to Al Hilal Bank",24.406679,54.569199,ATM,,Cash Withdrawal / Cash Deposit / Cheque Deposit,,600 50 2030,,01/01/0001
159,United Arab Emirates,Abu Dhabi,Khalifa City A Branch,"Khalifa City A, Villa 4, 16th Street South East 1, next to Al Hilal Bank",24.425929,54.565077,Branch,08:00 AM - 03:00 PM Monday to Thursday & Saturday <br/>​08:00 AM - 12:00 PM on Friday <br/>Closed on Sunday,"Teller Transaction / Customer Service / ATM Services (Cash withdrawals, Cash & Cheque Deposits)",46604 Abu Dhabi,+971 2 6591300,,01/01/0001
159,United Arab Emirates,Abu Dhabi,Khalifa City A Excellency Centre,"Khalifa City A, Villa 4, 16th Street South East 1, next to Al Hilal Bank - Mezzanine floor",24.425929,54.565077,Excellency,08:00 AM - 03:00 PM Monday to Thursday & Saturday <br/>​08:00 AM - 12:00 PM on Friday <br/>Closed on Sunday,"Teller Transaction / Customer Service / ATM Services (Cash withdrawals, Cash & Cheque Deposits)",46604 Abu Dhabi,600 50 2004,,01/01/0001
161,United Arab Emirates,Abu Dhabi,Al Nahyan Camp Branch ATMs ,"Dalma Street, Behind Al Nahyan Military Camp, Al Nahyan Camp area - ADCB Building",24.4667098,54.3841853,ATM,,Cash Withdrawal / Cash Deposit / Cheque Deposit,,600 50 2030,,01/01/0001
161,United Arab Emirates,Abu Dhabi,Al Nahyan Camp Branch,"Dalma Street, Behind Al Nahyan Military Camp, Al Nahyan Camp area, ADCB Building",24.4667098,54.3841853,Branch,08:00 AM - 03:00 PM Monday to Thursday & Saturday <br/>​08:00 AM - 12:00 PM on Friday <br/>Closed on Sunday,"Teller Transaction / Customer Service / ATM Services (Cash withdrawals, Cash & Cheque Deposits)",111486 Abu Dhabi,+971 2 4937000,,01/01/0001
162,United Arab Emirates,Abu Dhabi,Abu Dhabi Mall Branch ATMs ,"Al Zahiyah, Al Miyani Street, Tourist Club area, Abu Dhabi Mall Ground level next to main entrance ",24.495759,54.383129,ATM,,Cash Withdrawal / Cash Deposit / Cheque Deposit,,600 50 2030,,01/01/0001
162,United Arab Emirates,Abu Dhabi,Abu Dhabi Mall Branch,"Al Zahiyah, Al Miyani Street, Tourist Club area, Abu Dhabi Mall, Ground level next to main entrance",24.495759,54.383129,Branch,10:00 AM - 09:00 PM Monday to Thursday & Saturday <br/> 03:00 PM - 09:00 PM on Friday<br/> Closed on Sunday,"Teller Transaction / Customer Service / ATM Services (Cash withdrawals, Cash & Cheque Deposits)",939 Abu Dhabi,+971 2 6968400,,01/01/0001
163,United Arab Emirates,Abu Dhabi,Bawabat Al Sharq Mall Branch ATMs ,"Baniyas City, 6th street, Bawabat Al Sharq Mall,  Ground floor next to the west entrance",24.312138,54.620681,ATM,,Cash Withdrawal / Cash Deposit / Cheque Deposit,,600 50 2030,,01/01/0001
163,United Arab Emirates,Abu Dhabi,Bawabat Al Sharq Mall Branch,"Baniyas City, 6th street, Bawabat Al Sharq Mall,  Ground floor next to the west entrance",24.312138,54.620681,Branch,10:00 AM - 09:00 PM Monday to Thursday & Saturday <br/> 03:00 PM - 09:00 PM on Friday<br/> Closed on Sunday,"Teller Transaction / Customer Service / ATM Services (Cash withdrawals, Cash & Cheque Deposits)",60870 Abu Dhabi,+971 2 5016250,,01/01/0001
,United Arab Emirates,Abu Dhabi,Khalidiya Tower ATMs,"Khalidiya Towers, Building # 1, Corniche street, Opposite to Emirates Palace Hotel",24.457835,54.3198500,ATM,,Cash Withdrawal / Cash Deposit / Cheque Deposit,,600 50 2030,,01/01/0001
165,United Arab Emirates,Abu Dhabi,Abu Dhabi Investment Authority (ADIA) Branch ATMs ,"Corniche Street, ADIA Tower, Ground level, Corniche area",24.485674,54.351726,ATM,,Cash Withdrawal / Cash Deposit / Cheque Deposit,,600 50 2030,,01/01/0001
165,United Arab Emirates,Abu Dhabi,Abu Dhabi Investment Authority (ADIA) Branch,"Corniche Street, ADIA Tower, Ground level, Corniche area",24.485674,54.351726,Branch,08:00 AM - 03:00 PM Monday to Thursday <br/>08:00 AM - 12:00 PM on Friday <br/>Closed on Saturday and Sunday,"Teller Transaction / Customer Service / ATM Services (Cash withdrawals, Cash & Cheque Deposits)",939 Abu Dhabi,+971 2 4067600,,01/01/0001
,United Arab Emirates,Abu Dhabi,Galleria Mall,"Al Mariyah island, Galleria Mall Level 2 near Caribou café, Al Mariyah Island",24.49844,54.3891260,ATM,,Cash Withdrawal / Cash Deposit / Cheque Deposit,,600 50 2030,,01/01/0001
166,United Arab Emirates,Abu Dhabi,Reem Mall Branch,"Reem Mall, Ground floor, Al Reem Island, Abu Dhabi",24.4893,54.4009000,Branch,10:00 AM - 09:00 PM Monday to Thursday & Saturday <br/> 03:00 PM - 09:00 PM on Friday<br/> Closed on Sunday,"Customer Service / ATM Services (Cash withdrawals, Cash & Cheque Deposits)",6508 Abu Dhabi,+971 2 6148150,,01/01/0001
167,United Arab Emirates,Abu Dhabi,Yas Mall Branch ATMs ,"Sheikh Khalifa Bin Zayed Highway, , Yas Mall Ground Floor next to Carrefour, Yas Island area",24.488476,54.608874,ATM,,Cash Withdrawal / Cash Deposit / Cheque Deposit,,600 50 2030,,01/01/0001
167,United Arab Emirates,Abu Dhabi,Yas Mall Branch,"Sheikh Khalifa Bin Zayed Highway, , Yas Mall Ground floor, Yas Island area",24.488476,54.608874,Branch,10:00 AM - 09:00 PM Monday to Thursday & Saturday <br/> 03:00 PM - 09:00 PM on Friday<br/> Closed on Sunday,"Teller Transaction / Customer Service / ATM Services (Cash withdrawals, Cash & Cheque Deposits)",7145 Abu Dhabi,+971 2 6591200,,01/01/0001
168,United Arab Emirates,Abu Dhabi,ADGAS Branch ATMs,"Al Danah, Corniche Street, ADNOC Gas Co. Building",24.496021,54.364156,ATM,,Cash Withdrawal / Cash Deposit / Cheque Deposit,,600 50 2030,,01/01/0001
168,United Arab Emirates,Abu Dhabi,ADGAS Branch,"Al Danah, Corniche Street, ADNOC Gas Co. Building",24.496021,54.364156,Branch,08:00 AM - 03:00 PM Monday to Thursday <br/>08:00 AM - 12:00 PM on Friday <br/>Closed on Saturday and Sunday,"Teller Transaction / Customer Service / ATM Services (Cash withdrawals, Cash & Cheque Deposits)","3500, Abu Dhabi",+971 2 6941540,,01/01/0001
173,United Arab Emirates,Abu Dhabi,Al Mushrif Branch ATMs ,"Al Mushrif, Al Khaleej Al Arabi Road, Mushrif Cooperative Society, Ground floor",24.426387,54.407691,ATM,,Cash Withdrawal / Cash Deposit / Cheque Deposit,,600 50 2030,,01/01/0001
173,United Arab Emirates,Abu Dhabi,Al Mushrif Branch,"Al Mushrif, Al Khaleej Al Arabi Road, Mushrif Cooperative Society, Ground floor",24.426387,54.407691,Branch,08:00 AM - 07:00 PM Monday to Thursday & Saturday <br/>​08:00 AM - 12:00 PM on Friday<br/> Closed on Sunday,"Teller Transaction / Customer Service / ATM Services (Cash withdrawals, Cash & Cheque Deposits)",63824 Abu Dhabi,+971 2 6941530,,01/01/0001
2092,United Arab Emirates,Abu Dhabi,Yas Marina,"Building number 1, Next to Cipriani restaurant, Yas Marina, Yas Island",24.466744,54.609446,ATM,,Cash Withdrawal,,600 50 2030,,01/01/0001
2493,United Arab Emirates,Abu Dhabi,ADNOC Station - Officers City,"Khaleej Al Arabi Street, ADNOC Officers City, Mangrove Area Near Officers City",24.395873,54.50902,ATM,,Cash Withdrawal,,600 50 2030,,01/01/0001
2494,United Arab Emirates,Abu Dhabi,ADNOC Station - Mahawi,"Abu Dhabi - Alain Highway,  Mahawi, Abu Dhabi - Alain Highway",24.322325,54.588704,ATM,,Cash Withdrawal,,600 50 2030,,01/01/0001
2693,United Arab Emirates,Abu Dhabi,"Yas Marina, West Plaza","West Yas - Zone K - Yas Island, Opposite West Yas Academy",24.493119,54.586796,ATM,,Cash Withdrawal,,600 50 2030,,01/01/0001
2696,United Arab Emirates,Abu Dhabi,"Yas Mall, Cascade Dining",Located between Yas Mall and Ferrari World,24.485961,54.608502,ATM,,Cash Withdrawal,,600 50 2030,,01/01/0001
3594,United Arab Emirates,Abu Dhabi,Emirates Nuclear Energy Corporation,"Khaleej Al Arabi Street, Masdar City, Ground floor",24.426878,54.618671,ATM,,Cash Withdrawal,,600 50 2030,,01/01/0001
391,United Arab Emirates,Abu Dhabi,Carrefour  - Airport Road,"Airport Road, 1st  Level near escalators",24.423267,54.452888,ATM,,Cash Withdrawal,,600 50 2030,,01/01/0001
396,United Arab Emirates,Abu Dhabi,Abu Dhabi Coop - Abu Dhabi Mall,"Abu Dhabi Mall, Tourist Club area , Coop main Entrance",24.496707,54.382289,ATM,,Cash Withdrawal,,600 50 2030,,01/01/0001
399,United Arab Emirates,Abu Dhabi,Abu Dhabi Coop - Muroor Road ,"Muroor Street, Coop back entrance",24.433568,54.439112,ATM,,Cash Withdrawal,,600 50 2030,,01/01/0001
4098,United Arab Emirates,Abu Dhabi,Baniyas Coop,"Plot P1, Sector EB9 Bani Yas East, Abu Dhabi",24.4868291,54.4000807,ATM,,Cash Withdrawal,,600 50 2030,,01/01/0001
46,United Arab Emirates,Abu Dhabi,uBank Galleria Mall Branch,"Galleria Mall new extension, Ground Floor, Al Mariyah Island, Abu Dhabi",24.501,54.3910000,uBank,10:00 AM - 09:30 PM Monday to Thursday & Saturday <br/>03:00 PM - 09:30 PM on Friday <br/>Closed on Sunday,"Digital Banking service Center / ATM Services (Cash withdrawals, Cash & Cheque Deposits)",,+971 2 6148083,,01/01/0001
5107,United Arab Emirates,Abu Dhabi,Al Falah City,"Village no 1, Community Centre, Near to the big Mosque",24.452213,54.740724,ATM,,Cash Withdrawal,,600 50 2030,,01/01/0001
5108,United Arab Emirates,Abu Dhabi,Mussafah Police Station,"Mussafah near to Delma Mall, Abu Dhabi",24.339233,54.524891,ATM,,Cash Withdrawal,,600 50 2030,,01/01/0001
5110,United Arab Emirates,Abu Dhabi,Radisson Blu Yas Island,"Radisson Blu, Yas Plaza, Yas Island, Abu Dhabi",24.46749,54.59793,ATM,,Cash Withdrawal,,600 50 2030,,01/01/0001
5111,United Arab Emirates,Abu Dhabi,ADNOC Station - Salam,"Sheikh Zayed bin Sultan Street, Al Salam, Near Swiss Hotel",24.498069,54.372443,ATM,,Cash Withdrawal,,600 50 2030,,01/01/0001
5112,United Arab Emirates,Abu Dhabi,ADNOC Station - Souq Al Bateen,"Al Bateen Street, Souq Al Bateen, Station ID  969, Near Al Bateen Park",24.4582,54.34923,ATM,,Cash Withdrawal,,600 50 2030,,01/01/0001
5115,United Arab Emirates,Abu Dhabi,Marina Mall,"Ground Level Next to Starbucks Coffee, Corniche Road",24.476838,54.322211,ATM,,Cash Withdrawal,,600 50 2030,,01/01/0001
5119,United Arab Emirates,Abu Dhabi,NMC Hospital,Electra Street,24.483668,54.361133,ATM,,Cash Withdrawal,,600 50 2030,,01/01/0001
5120,United Arab Emirates,Abu Dhabi,Qasr Al Hosn,Rashid Bin Saeed Al Maktoum St(2nd St) - Abu Dhabi, 24.481461,54.355263,ATM,,Cash Withdrawal,,600 50 2030,,01/01/0001
5121,United Arab Emirates,Abu Dhabi,"Souk Planet, Etihad Plaza","Etihad Plaza, Khalifa City A",24.442300,54.607250,ATM,,Cash Withdrawal,,600 50 2030,,01/01/0001
5124,United Arab Emirates,Abu Dhabi,Abu Dhabi Commercial Properties,"Tourist Club Area, Near Al Majid Motors showroom",24.493083,54.378328,ATM,,Cash Withdrawal / Cash Deposit / Cheque Deposit,,600 50 2030,,01/01/0001
5130,United Arab Emirates,Abu Dhabi,Rabdan Mall,"Between the two bridges area, Al Maqaa Area",24.407382,54.5061240,ATM,,Cash Withdrawal / Cash Deposit,,600 50 2030,,01/01/0001
5136,United Arab Emirates,Abu Dhabi,Rixos Marina Hotel,"Rixos Marina Abu Dhabi, Ring Road Marina, Abu Dhabi",24.4807067,54.32207205,ATM,,Cash Withdrawal,,600 50 2030,,01/01/0001
5143,United Arab Emirates,Abu Dhabi,Al Falah Plaza,"Ground Level, Muroor Road, Al Dhafrah area",24.478371,54.372153,ATM,,Cash Withdrawal,,600 50 2030,,01/01/0001
5148,United Arab Emirates,Abu Dhabi,Al Wahda Mall,"Ground level, Lulu Hypermarket main entrance, Hazza Bin Zayed St",24.470393,54.372389,ATM,,Cash Withdrawal,,600 50 2030,,01/01/0001
5164,United Arab Emirates,Abu Dhabi,Department of Culture and Tourism,"Located in Nation Tower, Building B in Corniche area and ATM will be installed in 9th floor",24.464095,54.328266,ATM,,Cash Withdrawal,,600 50 2030,,01/01/0001
5168,United Arab Emirates,Abu Dhabi,The Crown Prince Court,"King Abdulla Al Saood Street, Al Bateen area",24.454455,54.345084,ATM,,Cash Withdrawal,,600 50 2030,,01/01/0001
5170,United Arab Emirates,Abu Dhabi,Ruwais Housing Complex,"Ruwais housing complex, Near Fardan Exchange",24.071865,52.652299,ATM,,Cash Withdrawal,,600 50 2030,,01/01/0001
5180,United Arab Emirates,Abu Dhabi,"Earth SuperMarket, Mohamed Bin Zayed City","Mohamed Bin Zayed City, near Emirates National School",24.363734,54.551616,ATM,,Cash Withdrawal,,600 50 2030,,01/01/0001
5181,United Arab Emirates,Abu Dhabi,ATM Service Center - ADCB Securities,"Sheikh Zayed Bin Sultan Street, Next to ADNOC Distribution Company Building",24.49243,54.3754800,ATM,,Cash Withdrawal / Cash Deposit / Cheque Deposit,,600 50 2030,,01/01/0001
5182,United Arab Emirates,Abu Dhabi,Hudayriyat Island,"Marsana Building 05, Al Hudayriyat Island",24.413497,54.349083,ATM,,Cash Withdrawal,,600 50 2030,,01/01/0001
5208,United Arab Emirates,Abu Dhabi,ADNOC Station - Saada,"Sheikh Rashid Bin Saeed Street, Al Sada, Station ID   918, Next to Mister Baker",24.465217,54.375747,ATM,,Cash Withdrawal,,600 50 2030,,01/01/0001
5209,United Arab Emirates,Abu Dhabi,ADNOC Technical Academy,"ADNOC Technical Academy, OJT Building Lobby, Al Shamikha",24.377526,54.686131,ATM,,Cash Withdrawal,,600 50 2030,,01/01/0001
5210,United Arab Emirates,Abu Dhabi,ADNOC Station - Yasat,"Fatima Bint Mubarak street, Al Yasat, Station ID 926, Near Al Raha Hospital ",24.489058,54.370459,ATM,,Cash Withdrawal,,600 50 2030,,01/01/0001
5212,United Arab Emirates,Abu Dhabi,ADNOC - Shamkha,"ADNOC Service Station - 726 Al Shamkha, Al Shamkha, New Baniyas – Abu Dhabi (Near Baniyas Statduim)",24.347465,54.687663,ATM,,Cash Withdrawal,,600 50 2030,,01/01/0001
5238,United Arab Emirates,Abu Dhabi,Reem Mall,"Al Reem Island, infront of carrefour - Abu Dhabi",24.486834,54.397892,ATM,,Cash Withdrawal,,600 50 2030,,01/01/0001
5239,United Arab Emirates,Abu Dhabi,Sheikh Shakhbout Medical City,"Sheikh Shakhbout Medical City, PO Box 11001, Abu Dhabi, United Arab Emirates​",24.32526,54.6136,ATM,,Cash Withdrawal,,600 50 2030,,01/01/0001
5241,United Arab Emirates,Abu Dhabi,Federal National Council,"Al Khubeirah area, Near Ministry of Justice",24.463069,54.331083,ATM,,Cash Withdrawal,,600 50 2030,,01/01/0001
5253,United Arab Emirates,Abu Dhabi,Department of Finance,"Sultan Bin Zayed the First St, Corniche, Near Emirates Hospital",24.492728,54.359215,ATM,,Cash Withdrawal,,600 50 2030,,01/01/0001
5254,United Arab Emirates,Abu Dhabi,LuLu Hypermarket - Baniyas,"Abu Dhabi - Al Ain Road, Next to Baniyas Mall, Baniyas East Area",24.296366,54.636206,ATM,,Cash Withdrawal,,600 50 2030,,01/01/0001
5255,United Arab Emirates,Abu Dhabi,ADNOC Station - Manhal,"Sheikh Rashid Bin Saeed Street, Al Manhal, Station ID  911, Near Arab Udupi restaurant",24.4747,54.366893,ATM,,Cash Withdrawal,,600 50 2030,,01/01/0001
5256,United Arab Emirates,Abu Dhabi,Mushrif Mall,"2nd level Near Lulu Hypermarket entrance, Sheikh Rashid Bin Saeed Street Al Zafranah Area",24.434794,54.41223,ATM,,Cash Withdrawal / Cash Deposit,,600 50 2030,,01/01/0001
5257,United Arab Emirates,Abu Dhabi,Carrefour - Mamsha Saadiyat,Mamsha AL Saadiyat - Carrefour - Azure -3 Building - Abu Dhabi,24.53853252,54.41296432,ATM,,Cash Withdrawal,,600 50 2030,,01/01/0001
5262,United Arab Emirates,Abu Dhabi,Al Dhafra Mall ,"Tarif-Liwa Road, Madinat Zayed, Al Dhafra Region, Abu Dhabi, Ground floor",23.63929,53.70936,ATM,,Cash Withdrawal,,600 50 2030,,01/01/0001
5265,United Arab Emirates,Abu Dhabi,Corniche Hospital,"Corniche Road, Near Sheraton Hotel",24.501528,54.369741,ATM,,Cash Withdrawal,,600 50 2030,,01/01/0001
5266,United Arab Emirates,Abu Dhabi,ADNOC Station - Baniyas Old Club,"Abu Dhabi Al Ain Road, Baniyas Old Club, Near Baniyas Sports and Cultural Club",24.30378,54.62218,ATM,,Cash Withdrawal,,600 50 2030,,01/01/0001
