BranchType_EN,Channel/ar,Channel/en,Latitude,Longitude,OpeningHours,Services/0/ar,Services/0/en,Title_Name_EN,Address_EN,BranchLocationCity/ar,BranchLocationCity/en,Phone,Region/ar,Region/en,_id,Title_Name_AR,Address_AR,BranchType_AR,Services/1/ar,Services/1/en,Services/2/ar,Services/2/en,Services/3/ar,Services/3/en,Services/4/ar,Services/4/en
Islamic,Branch Office,Branch Office,21.44077,39.84108,9:30 - 4:30,المصرفية الذهبية,Golden Banking,121. Al Maabdah,"Al-Mo’abada St. , MAKKAH AL-MUKARRAMAH",مكة المكرمة,MAKKAH AL-MUKARRAMAH,012-574-9717,الغربية,Western,1534,فرع المعابدة,"شارع المعابدة العام , مكة المكرمة",إسلامي,,,,,,,,
Islamic,Branch Office,Branch Office,21.455053,39.198174,9:30 - 4:30,,,120. Al Mahjar,"At Tilfizyun St. , JEDDAH",جدة,JEDDAH,012-637-0325,الغربية,Western,1533,فرع المحجر,"شارع التلفزيون , جدة",إسلامي,,,,,,,,
Islamic,Branch Office,Branch Office,25.370495,49.585837,9:30 - 4:30,المصرفية الذهبية,Golden Banking,334. Al Majed St.,"Al Majed Street - King Khalid St. - Al Hofuf , AL-AHSSA",الاحساء,AL-AHSSA,013-586-7766,الشرقية,Eastern,1667,فرع شارع الماجد,"شارع الماجد- طريق الملك خالد - الهفوف , الاحساء",إسلامي,,,,,,,,
Islamic,Branch Office,Branch Office,25.9069,45.35013,9:30 - 4:30,المصرفية الذهبية,Golden Banking,606. AL Majmaa,"King Fahd Rd , AL-MAJMAAH",المجمعه,AL-MAJMAAH,016-432-0015,القصيم,Qassim,1713,فرع المجمعة,"طريق الملك فهد , المجمعه",إسلامي,,,,,,,,
Regular,Branch Office,Branch Office,25.384029,49.667556,9:30 - 4:30,المصرفية الذهبية,Golden Banking,352. Al Manizlah,"Al-Manizlah Main St. - Prince Mohammed Bin Abdulaziz Rd , AL-AHSSA",الاحساء,AL-AHSSA,013-531-6423,الشرقية,Eastern,1681,فرع المنيزلة,"الشارع العام - طريق الأمير محمد بن عبد العزيز , الاحساء",عادي,الخدمات المصرفية للسيدات,Ladies Banking Services,,,,,,
Regular,Branch Office,Branch Office,21.62386,39.20605,9:30 - 4:30,المصرفية الماسية,Diamond Banking,169. Al Marwa,"Hira St. , JEDDAH",جدة,JEDDAH,012-654-9985,الغربية,Western,1561,فرع المروة,"شارع حراء , جدة",عادي,المصرفية الذهبية,Golden Banking,مراكز الأعمال الناشئة,Emerging Enterprises Centers,,,,
Regular,Branch Office,Branch Office,21.468974,39.185188,9:30 - 4:30,المصرفية الذهبية,Golden Banking,147. Al Meena Road,"King Khalid Rd , JEDDAH",جدة,JEDDAH,012-648-4868,الغربية,Western,1549,فرع طريق الميناء,"طريق الملك خالد , جدة",عادي,,,,,,,,
Islamic,Branch Office,Branch Office,25.8544,44.22568,9:30 - 4:30,المصرفية الذهبية,Golden Banking,603. Al Methnab,"King Abdulaziz Rd , AL-MIDHNAB",المذنب,AL-MIDHNAB,016-342-1554,القصيم,Qassim,1710,فرع المذنب ,"طريق الملك عبد العزيز , المذنب",إسلامي,,,,,,,,
Regular,Branch Office,Branch Office,21.69548,39.11831,9:30 - 4:30,المصرفية الماسية,Diamond Banking,183. Jouhra Al Mohammadiah,"Al-Madina down Rd , JEDDAH",جدة,JEDDAH,012-238-4980,الغربية,Western,1570,فرع حي المحمدية,"طريق المدنية النازل , جدة",عادي,المصرفية الذهبية,Golden Banking,الخدمات المصرفية للسيدات,Ladies Banking Services,,,,
Regular,Branch Office,Branch Office,24.7363,46.65934,9:30 - 4:30,المصرفية الذهبية,Golden Banking,242. Al Mohammediah,"King Fahd Road , Al-RIYADH",الرياض,Al-RIYADH,011-470-6080,الوسطى,Central,1610,فرع المحمدية,"طريق الملك فهد , الرياض",عادي,,,,,,,,
Regular,Branch Office,Branch Office,24.76561,46.65936,9:30 - 4:30,المصرفية الذهبية,Golden Banking,245. Al Mooroj,"Northern Ring Rd , Al-RIYADH",الرياض,Al-RIYADH,011-229-1720,الوسطى,Central,1612,فرع المروج,"طريق الدائري الشمالي , الرياض",عادي,الخدمات المصرفية للسيدات,Ladies Banking Services,,,,,,
Regular,Branch Office,Branch Office,24.47243,46.27973,9:30 - 4:30,المصرفية الذهبية,Golden Banking,221. Al Mozahemiah,"King Abdulaziz Rd , Al-MUZAHMEYAH",المزاحمية,Al-MUZAHMEYAH,011-523-0508,الوسطى,Central,1594,فرع المزاحمية,"طريق الملك عبد العزيز , المزاحمية",عادي,,,,,,,,
Islamic,Branch Office,Branch Office,24.54828045,46.68619603,9:30 - 4:30,المصرفية الذهبية,Golden Banking,257. Al Mrwah,"Al Khalil Ibn Ahmad St. , Al-RIYADH",الرياض,Al-RIYADH,011-2715842,الوسطى,Central,1617,فرع المروة,"شارع الخليل بن احمد , الرياض",إسلامي,,,,,,,,
Regular,Branch Office,Branch Office,25.402853,49.581683,9:30 - 4:30,المصرفية الذهبية,Golden Banking,305. Al Mubarraz,"Prince Abdullah Ibn Jalawi St. , AL-AHSSA",الاحساء,AL-AHSSA,013-582-4170,الشرقية,Eastern,1639,فرع المبرز,"شارع الأمير عبدالله بن جلوي , الاحساء",عادي,,,,,,,,
Islamic,Branch Office,Branch Office,21.450094,39.288437,9:30 - 4:30,المصرفية الذهبية,Golden Banking,152. Al Muntazahat,"Old Makkah Rd , JEDDAH",جدة,JEDDAH,012-620-9414,الغربية,Western,1554,فرع المنتزهات,"طريق مكة القديم , جدة",إسلامي,,,,,,,,
Islamic,Branch Office,Branch Office,24.78064,46.82862,9:30 - 4:30,خدمات الاستثمار,Investment Services,270. Al Nahda,"Prince Bandar Bin Abdulaziz Rd , Al-RIYADH",الرياض,Al-RIYADH,011-238-7252,الوسطى,Central,1628,فرع النهضة,"طريق الأمير بندر بن عبد العزيز , الرياض",إسلامي,,,,,,,,
Regular,Branch Office,Branch Office,25.39507,49.5987,9:30 - 4:30,المصرفية الذهبية,Golden Banking,336. Al Najaah St.,"Al Najah Street - Al-Faisaliyah , AL-HAFOUF",الهفوف,AL-HAFOUF,013-583-0537,الشرقية,Eastern,1668,فرع النجاح,"شارع النجاح - الفيصلية , الهفوف",عادي,,,,,,,,
Islamic,Branch Office,Branch Office,19.12406,42.13007,9:30 - 4:30,,,523. Al Namas,"King Faisal Rd , AL-NAMAS",النماص,AL-NAMAS,017-283-1039,الجنوبية,Southern,1706,النماص,"طريق الملك فيصل , النماص",إسلامي,,,,,,,,
Islamic,Branch Office,Branch Office,24.724892,46.821203,9:30 - 4:30,المصرفية الذهبية,Golden Banking,299. Western Naseem,"Saad Ibn Adi Waqas St. , Al-RIYADH",الرياض,Al-RIYADH,011-231-2050,الوسطى,Central,1634,فرع النسيم الغربي,"شارع سعد بن ابي وقاص , الرياض",إسلامي,الخدمات المصرفية للسيدات,Ladies Banking Services,,,,,,
Islamic,Branch Office,Branch Office,24.74209071,46.82716663,9:30 - 4:30,المصرفية الذهبية,Golden Banking,238. Eastern Naseem,"Hassan Ibn Thabet St. , Al-RIYADH",الرياض,Al-RIYADH,011-209-4717,الوسطى,Central,1606,فرع النسيم الشرقي,"شارع حسان بن ثابت , الرياض",إسلامي,,,,,,,,
Regular,Branch Office,Branch Office,18.23764,42.78444,9:30 - 4:30,,,507. Al Numan,"Military City Rd , KHAMIS MUSHAYT",خميس مشيط,KHAMIS MUSHAYT,017-250-0228,الغربية,Western,15833,فرع النعمان,"طريق المدينة العسكرية , خميس مشيط",عادي,,,,,,,,
Regular,Branch Office,Branch Office,26.29346,50.18619,9:30 - 4:30,المصرفية الذهبية,Golden Banking,359. Al Olaya,"Makkah Al Mukarramah St. , AL-KHOBAR",الخبر,AL-KHOBAR,013-897-8173<br/>013-889-1766,الشرقية,Eastern,1685,فرع العليا - الخبر,"شارع مكة المكرمة , الخبر",عادي,مراكز الأعمال الناشئة,Emerging Enterprises Centers,,,,,,
Islamic,Branch Office,Branch Office,25.599077,49.561432,9:30 - 4:30,المصرفية الذهبية,Golden Banking,324. AL Oyon,"Main St. - Al Oyun , AL-AHSSA",الاحساء,AL-AHSSA,013-533-2312,الشرقية,Eastern,1658,فرع العيون,"الشارع العام التجاري , الاحساء",إسلامي,,,,,,,,
Regular,Branch Office,Branch Office,26.4099662,50.1080824,9:30 - 4:30,المصرفية الذهبية,Golden Banking,345. Al Qodos St.,"Al Qodos St. , AL-QATEEF",القطيف,AL-QATEEF,013-852-6150,الشرقية,Eastern,1674,فرع شارع القدس,"شارع القدس , القطيف",عادي,الخدمات المصرفية للسيدات,Ladies Banking Services,,,,,,
Islamic,Branch Office,Branch Office,24.06326,45.28119,9:30 - 4:30,المصرفية الذهبية,Golden Banking,217. Al Quwayiyah,"King Abdulaziz Rd , Al-QUAIEYYAH",القويعية,Al-QUAIEYYAH,011-652-1518,الوسطى,Central,1591,فرع القويعية,"طريق الملك عبد العزيز , القويعية",إسلامي,,,,,,,,
Regular,Branch Office,Branch Office,24.71427657,46.63430255,9:30 - 4:30,المصرفية الذهبية,Golden Banking,241. Al Raaid,"Kiing Abdullah Rd , Al-RIYADH",الرياض,Al-RIYADH,011-481-6681,الوسطى,Central,1609,فرع الرائد,"طريق الملك عبد الله , الرياض",عادي,,,,,,,,
Regular,Branch Office,Branch Office,24.79021917,46.6575185,9:30 - 4:30,المصرفية الماسية,Diamond Banking,260. Al Rabie,"King Abdulaziz Rd , Al-RIYADH",الرياض,Al-RIYADH,011-470-9242,الوسطى,Central,1620,فرع الربيع,"طريق الملك عبد العزيز , الرياض",عادي,المصرفية الذهبية,Golden Banking,الخدمات المصرفية للسيدات,Ladies Banking Services,,,,
Regular,Branch Office,Branch Office,24.6905039,46.7634368,9:30 - 4:30,المصرفية الماسية,Diamond Banking,265. Al Rabwa,"Omar Ibn Abdulaziz Rd , Al-RIYADH",الرياض,Al-RIYADH,011-493-2792,الوسطى,Central,1624,فرع الربوة,"طريق عمر بن عبد العزيز , الرياض",عادي,المصرفية الذهبية,Golden Banking,,,,,,
Regular,Branch Office,Branch Office,26.3626,50.197096,9:30 - 4:30,المصرفية الماسية,Diamond Banking,349. Al Rakah,"Khaled Ibn Al Walid St. , AL-KHOBAR",الخبر,AL-KHOBAR,013-810-0226,الشرقية,Eastern,1678,فرع الراكة,"شارع خالد ابن الوليد , الخبر",عادي,الخدمات المصرفية للسيدات,Ladies Banking Services,,,,,,
Islamic,Branch Office,Branch Office,25.87806,43.520696,9:30 - 4:30,المصرفية الذهبية,Golden Banking,607. Al Rass,"King Abdulaziz Rd , AL-RASS",الرس,AL-RASS,016-351-1565<br/>016-351-1338,القصيم,Qassim,1714,فرع الرس,"طريق الملك عبد العزيز , الرس",إسلامي,,,,,,,,
Regular,Branch Office,Branch Office,26.412869,50.096231,9:30 - 4:30,المصرفية الماسية,Diamond Banking,350. Al Rayann,"Othman Ibn Affan St. , DAMMAM",الدمام,DAMMAM,013-812-5682,الشرقية,Eastern,1679,فرع الريان,"شارع عثمان بن عفان تقاطع شارع 18 , الدمام",عادي,المصرفية الذهبية,Golden Banking,,,,,,
Regular,Branch Office,Branch Office,24.685181,46.842437,9:30 - 4:30,,,213. Al Saada,"Abu Ubaydah Amir Ibn Al Jarrah , Al-RIYADH",الرياض,Al-RIYADH,011-492-3185,الوسطى,Central,5260,فرع السعادة,"طريق ابو عبيدة عامر بن الجراح , الرياض",عادي,,,,,,,,
Islamic,Branch Office,Branch Office,26.3686,43.92809,9:30 - 4:30,المصرفية الذهبية,Golden Banking,608. Al Safra,"King Abdulaziz Rd , BURAIDAH",بريدة,BURAIDAH,016-381-1670,القصيم,Qassim,1715,فرع الصفراء,"طريق الملك عبد العزيز , بريدة",إسلامي,,,,,,,,
Regular,Branch Office,Branch Office,21.586789,39.158332,9:30 - 4:30,المصرفية الذهبية,Golden Banking,149. Al Salamah neighborhood,"Abdul Rahman Ibn Ahmed As sidayri St. , JEDDAH",جدة,JEDDAH,012-683-2949,الغربية,Western,1551,فرع السلامة,"شارع عبد الرحمن احمد السديري , جدة",عادي,,,,,,,,
