lat,lng,phone,name,All_info
21.562951,39.164622,(012) 263-1677,Al Rawdah," Prince Saud Al Faisal St., Rawdah District, 216 21411



Phone: (012) 263-1677
Fax: (012) 263-1673"
24.709957,46.789979,(011) 493-6161,Al Rayyan," Intersection of Ahmed Bin Hanbal & Bureidah St, 154 11431



Phone: (011) 493-6161
Fax: (011) 491-0258"
21.566231,39.211646,(012) 671-7885,Al Safa," Al-Arbaeen Street. AlSafa District. 216 21411



Phone: (012) 671-7885
Fax: (012) 674-0376"
24.799125,46.644562,(011) 487-4484,Al Sahafa," Imam Saud Bin Faisal St, AlSahafa District, 154 11431



Phone: (011) 487-4484
Fax: (011) 487 3985"
24.569973,46.691083,(011) 422-3815,Al Shifa," Dirab / 354 Road, AlShifa District, 154 11431



Phone: (011) 422-3815
Fax: (011) 4223843"
24.783219,46.701609,(011) 456-0224,Al Ta'awon," North Ring Road , Al Ta'awon District, 11431



Phone: (011) 456-0224
Fax: (011) 465-8931"
21.54823,39.143671,(012) 669-0129,Al Tahlia," Teatro Mall. Prince Mohd. Bin AAziz St., 216 21411



Phone: (012) 669-0129
Fax: (012) 669-0452"
24.786849,46.682374,(011) 274-7480,Al Wadi," Abu Baker St. Al Wadi District,P.O. Box 1290 - 154 11431



Phone: (011) 274-7480
Fax: (011) 274-2141"
24.747461,46.712127,(011) 453-2183,Al Waha," King Abdullah Road - Al Waha District, 154 11431



Phone: (011) 453-2183
Fax: (011) 453-9029"
21.680499,39.124166,(012) 234-3415,AlBasateen (I)," Ismail Bin Katheer St, 216 21411



Phone: (012) 234-3415
Fax: (012) 234-3428"
25.354366,49.592364,(013) 588-1462,AlKhaldiyah Branch," University Street, Alkhaleij District, 309 , Al Ahsa 31982



Phone: (013) 588-1462
Fax: (013) 588-1413"
24.166349,47.338455,(011) 544-1474,AlKharj," King Fahad Road, AlKharj



Phone: (011) 544-1474
Fax: (011) 544 1238"
24.573044,46.610741,(011) 247-4840,AlSuweidi (I)," Shaikh Salih Abdulaziz Bin Abdulrahaman Street crossing Shaikh Mohamad Abdulateef Bin Abdulrahman Street



Phone: (011) 247-4840
Fax: (011) 247-4843"
24.803237,46.793812,(011) 240 3033,AlYarmouk," Al Imam Abdullah Bin Abdulaziz Road, 154 11431



Phone: (011) 240 3033
Fax: (011) 240-8704"
24.588732,46.625473,(011) 428-8111,Badia," Al353 AlMunawwara Road, 154 11431



Phone: (011) 428-8111
Fax: (011) 428-1712"
26.353695,43.954165,(016) 324-4207,Buraidah (I)," Intersection of Prince Faisal Bander & KAA Street, Bureidah



Phone: (016) 324-4207
Fax: (011) 324-3943"
26.454295,50.118327,(013) 809-4747,Corniche (ex Dammam 1st St)," AlAshria Road, corner Amir Muhammad Bin Fahad Road, 163 31461



Phone: (013) 809-4747
Fax: (013) 809-7052"
24.678101,46.702478,,Dabbab FC," RBG Dabbab Building, Dabbab, 154




Fax: (011) 462-0967"
26.403778,50.102533,(013) 848-2244,Dammam Al Andalus (I)," Othman Bin Afan St.(cor Ali Bin Abi Taleb St), Andalus Dist. 163 31461



Phone: (013) 848-2244"
26.399444,50.065833,(013) 811-4747,Dammam Faisaliyah," Omar Bin Al-Khattab Street, Faisaliah Area, 163



Phone: (013) 811-4747
Fax: (013) 811-3939"
26.433491,50.118283,(013) 827-1588,Dammam Main," Prince Mohammed Bin Fahad Road, AlTobaishi District



Phone: (013) 827-1588
Fax: (013) 833-0327"
24.778276,46.663475,(011) 275-8222,Ghadeer," King Abdul Aziz Street, Ghadeer District North 154, 11431



Phone: (011) 275-8222
Fax: (011) 275-6195"
28.412012,45.980413,(013) 7248222,Hafr AlBaten (I)," King Abdullah Street, Hafr AlBatin



Phone: (013) 7248222"
27.501111,41.699167,(016) 533-0075,Hail," King Abdulaziz Road St. Al Sa'ah Circle, 294



Phone: (016) 533-0075
Fax: (016) 533-1303"
25.388049,49.578391,(013) 582-7017,Hofuf Main (Relocated)," Prince Talal Bin Abdulaziz Street, Alseifah District, 309, Al Ahsa



Phone: (013) 582-7017
Fax: (013) 586-9020"
25.358327,49.545301,013 573 2777,Hofuf Salmaniah (I)," 154 St., Sulimaniah District, 309, P.O.Box 779, 309 31982



Phone: 013 573 2777
Fax: (013) 573-2555"
21.510922,39.176311,(012) 651-5151,Jeddah Main," King Abdullah Road, 216 21411



Phone: (012) 651-5151
Fax: (012) 657-4704"
16.912448,42.5484653,(017) 320-6162,Jizan," Corniche Road corner of Prince Abdullah Al Faisal St Al Shati District, Jazan



Phone: (017) 320-6162
Fax: (017) 322-0559"
27.059249,49.53482,(013) 341-8551,Jubail Industrial City," Section J, Block 5D, Street 26, Support Industries Park, 318 31961



Phone: (013) 341-8551
Fax: (013) 341-8557"
26.991551,49.64501,(013) 362-2400,Jubail Town," King Faisal (West) corner King Abdullah Road



Phone: (013) 362-2400
Fax: (013) 362-3840"
26.303056,50.210278,(013) 887-1111,KAAS," King Fahad Street, Al159, 31952



Phone: (013) 887-1111
Fax: (013) 882-2556"
18.289593,42.730515,(017) 223-5156,Khamis Mushayt," King Khalid St / Dam St. Crossing - 352



Phone: (017) 223-5156
Fax: (017) 223-5160"
24.637672,46.701511,(011) 404-0836,Khazzan," Imam Faisal Bin Turki Street, 154 11431



Phone: (011) 404-0836
Fax: (011) 404-0824"
26.282219,50.212485,(013) 895-4040,Khobar Awwal," AlAwwal Street crossing Prince Mansour Street, Al 159 31952



Phone: (013) 895-4040"
24.693655,46.680968,(011) 461-0186,King Fahad (formerly Euromarche)," King Fahad Road, Olaya District, 154 11431



Phone: (011) 461-0186"
24.479278,39.624031,(14) 838-0220,Madina Main," Airport Road, 353



Phone: (14) 838-0220
Fax: (014) 838-8008"
24.485028,39.574587,(14) 845-6108,Madina Sultana," Ghouth Plaza - Qiblateen / Abi Salama District, Abu Baker Road - 353City



Phone: (14) 845-6108"
21.355551,39.889979,(012) 528-4484,Makkah Al Awaly (I)," Ibrahim Al-Jaffali St. Al Awaly District



Phone: (012) 528-4484
Fax: (012) 527-3960"
21.412184,39.865835,(012) 558-2821,Makkah Azizia," Aziziah Road, 354



Phone: (012) 558-2821
Fax: (012) 558-2682"
21.38674,39.82101,(012) 553-9630,Makkah Kudai (Formerly Makkah Ghaza)," Kudai District, 3rd Ring Road, Dar Mahfouz Building beside General Court



Phone: (012) 553-9630
Fax: (012) 575-7435"
21.440063,39.78883,(012) 544-1333,Makkah Main (I)," Sitteen Street Old 216 Road), 354



Phone: (012) 544-1333
Fax: (012) 544-4410"
21.619878,39.187935,(012) 658-6398,Marwa," Al Heraa St. (East of Prince Majeed St), 216 21411



Phone: (012) 658-6398
Fax: (012) 658-6470"
26.459898,50.061029,(013) 8374499,Mohammadiah," Prince Nayef Bin Abdulaziz Street, Mohammadiah Dist. 163 31461



Phone: (013) 8374499"
24.721278,46.647628,(011) 837-4499,Mohammadiah Al Riyadh (former AlRahmania)," King Abdullah Bin Abdulaziz Road, 154 11431



Phone: (011) 837-4499
Fax: (011) 837-6353"
28.417854,36.56618,(14) 428-6161,Morooj," King Abdullah St., 356



Phone: (14) 428-6161
Fax: (014) 424-3360"
25.441944,49.593056,(03) 531-7700,Mubarraz Shamali Mubarraz," Prince Talal Bin Abdulaziz St., Almosherfah District, Mubarraz North Area, Al Ahsa 31982



Phone: (03) 531-7700
Fax: (013) 531-9900"
26.406111,43.921111,(016) 381-6424,Nahda Bureidah (I)," Omer Bin Khattab Road, North 291



Phone: (016) 381-6424
Fax: (016) 381-5376"
17.529364,44.207927,(017) 522-2219,Najran," King Abdulaziz Street AlFaisalia, 355



Phone: (017) 522-2219
Fax: (017) 522-4652"
24.734081,46.814848,(011) 230-2525,Nassim," Saad Bin Waqas Street (Ex. Arbaeen), 154 11431



Phone: (011) 230-2525
Fax: (011) 231-6311"
26.299627,50.173689,(013) 895-4040,Olaya Al-Khobar," Bashar Bin Burd Street, Olaya District, Al 159



Phone: (013) 895-4040"
24.713911,46.675342,(011) 874-6000,Olaya BBC," Intersection of Olaya Street & AlOruba Street, 154 11431



Phone: (011) 874-6000
Fax: (011) 419-7576"
26.091454,43.990979,(016) 363-3700,Onaizah (I)," AlZulfy Street, 296



Phone: (016) 363-3700
Fax: (016) 363-1393"
21.519646,39.154878,(012) 668-7313,Palestine St," Palestine St., 216 21411



Phone: (012) 668-7313
Fax: (012) 283-0516"
26.5579,50.0017,(013) 854-1578,Qatif Main," Abdullah Bin Al-Harith, Al-Shateh Area-Tarout, 321 City



Phone: (013) 854-1578
Fax: (013) 854-0958"
24.684618,46.734116,(011) 477-1747,Rabwa," Al-Ihsaa Street, 154 11431



Phone: (011) 477-1747
Fax: (011) 4771668"
24.729054,46.767069,(011) 493-0918,Rawdah," AlHassan Bin Ali St. crossing Hafsa Bint Omar St., 154 11431



Phone: (011) 493-0918
Fax: (011) 493-1972"
24.688848,46.717697,(011) 874-4000,Riyadh Main," King Abdulaziz Street, 154 11431



Phone: (011) 874-4000
Fax: (011) 477-6780"
26.48784,50.038629,(013) 850-2671,Saihat Branch," King Faisal Street opposite Vegetable Market, Sihat 31972



Phone: (013) 850-2671
Fax: (013) 850-2166"
21.573611,39.140833,(012) 639-4973,Sari Branch," Sari St, 216 21411



Phone: (012) 639-4973
Fax: (012) 692-0537"
26.328412,50.109361,(013) 807-8000,Saudi Aramco Dhahran," Al Midra Services Center #3304, 305



Phone: (013) 807-8000"
24.783211,46.701588,920012599,SME Center | Banque Saudi Fransi," Side door of Al Taawon Branch



Phone: 920012599

City: RIYADH
Region: Central"
24.706922,46.689444,(011) 463-0772,Suleimania," Mousa Bin Nussair Street, Sulamaniyah, 154 11431



Phone: (011) 463-0772
Fax: (011) 463-0704"
28.399028,36.575711,(14) 428-7198/7199,Tabuk," 50th Street (Al Khamseen Street) King Fahad Street, 356



Phone: (14) 428-7198/7199
Fax: (014) 423-9092"
21.277151,40.411247,(012) 736-8268,Taif," Shobra Street, Taif



Phone: (012) 736-8268
Fax: (012) 736-0681"
24.679444,46.659722,(011) 482-3515,Um Al Hammam (I)," Security Forces Compound, 154 11431



Phone: (011) 482-3515
Fax: (011) 482-2937"
24.713911,46.675342,,Wealth Management***," Al Worood District, Olaya Street, 154




Fax: (011) 419-8341"
24.002963,38.198566,,Yanbu," King Fahad Road , Al Rahmaniyah District, 358"
