Code,Location,Contact,Location URL,Latitude,Longitude
19,"Chatter Klass Branch
Kullian Bazar, Kohala-Muzaffarabad Road","TEL: 05822 922302
FAX: 05822 922303
E-mail: manager0019@Bankajk.com",https://bankajk.com/bajk-maps/019.php,34.2115731,73.4958242
20,"Brahtla Branch
Main Bazar Brahtla District Kotli A.K","TEL: 05826 475094
FAX: 05826b 475094
E-mail: manager0020@Bankajk.com",https://bankajk.com/bajk-maps/020.php,33.3498131,73.9093354
21,"Khui Ratta Branch
Main Bazar Khui Ratta District Kotli A.K","TEL: 05826 921863
FAX: 05826 921862
E-mail: manager0021@Bankajk.com",https://bankajk.com/bajk-maps/021.php,33.3498131,73.9093354
22,"Chakaar Branch
 Main Bazar Chakaar District Muzaffarabad A.K","TEL: 05822 922003
FAX: 05822 922002
E-mail: manager0022@Bankajk.com",https://bankajk.com/bajk-maps/022.php,34.1490931,73.6779846
23,"Dheerkot Branch
 Main Bazar Dheerkot District Bagh A.K","TEL: 05823 921213
FAX: 05823 921214
E-mail: manager0023@Bankajk.com",https://bankajk.com/bajk-maps/023.php,34.0350906,73.5801816
24,"Pathika Branch
Main Bazar Pathika District Muzaffarabad A.K","TEL: 05822 922108
FAX: 05822-922109
E-mail: manager0024@Bankajk.com",https://bankajk.com/bajk-maps/024.php,34.4487106,73.5480059
25,"Bandi Abbaspur Branch
Pul Bazar Bandi Abbaspur District Poonch A.K","TEL: 05824 921027
FAX: 05824 921028
E-mail: manager0025@Bankajk.com",https://bankajk.com/bajk-maps/025.php,33.8166443,73.9723393
26,"Sarsawa Branch
Main Bazar Sarsawa District Kotli A.K","TEL: 05826 921163
FAX: 05826 921164
E-mail: manager0026@Bankajk.com",https://bankajk.com/bajk-maps/026.php,33.5655512,73.8431857
27,"Pulmanda Branch
 Main Bazar Pulmanda District Mirpur A.K","TEL: 05827 922260
FAX: 05827 922261
E-mail: manager0027@Bankajk.com",https://bankajk.com/bajk-maps/027.php,33.0551666,73.7889918
28,"Madina Market Branch
 Madina Market District Muzaffarabad A.K","TEL: 05822 923126
FAX: 05822 923127
E-mail: manager0028@Bankajk.com",https://bankajk.com/bajk-maps/028.php,34.3699335,73.46866
29,"Barnala Branch
Main Bazar Barnala District Bhimber A.K","TEL: 05828 922064
FAX: 05828 922063
E-mail: manager0029@Bankajk.com",https://bankajk.com/bajk-maps/029.php,32.8710439,74.2441461
30,"Khai-gala Branch
 Main Bazar Khai-gala District Poonch A.K","TEL: 05824 920911
FAX: 05824 920912
E-mail: manager0030@Bankajk.com",https://bankajk.com/bajk-maps/030.php,33.8456131,73.8298833
31,"Khad-Gujran Branch
 Main Bazar Khad-Gujran District Kotli A.K","TEL: 05826 922361
FAX: 05826 922362
E-mail: manager0031@Bankajk.com",https://bankajk.com/bajk-maps/031.php,33.4824611,74.0339819
32,"Trarkhal Branch
 Main Bazar Tararkhal District Sudhunuti","TEL: 05825 920224
FAX: 05825 920223
E-mail: manager0032@Bankajk.com",https://bankajk.com/bajk-maps/032.php,33.7602836,73.7885829
33,"Chowki Branch
 Main Bazar Chowki District Bhimber A.K","TEL: 05828 922162
FAX: 05828 922261
E-mail: manager0033@Bankajk.com",https://bankajk.com/bajk-maps/033.php,33.120073,74.0748245
34,"Hattian Branch
Sakhi Plaza, Chowk Bazar, Hattian Bala","TEL: 05822 922631
FAX: 05822 922632
E-mail: manager0034@Bankajk.com",https://bankajk.com/bajk-maps/034.php,34.172057,73.733974
35,"Poona Branch
Main Bazar Poona District Bhimber A.K","TEL: 05827-485533
FAX: 05827-485533
E-mail: manager0035@Bankajk.com",https://bankajk.com/bajk-maps/035.php,33.1842741,73.952794
36,"Charhoi Branch
Main Bazar Charhoi District Kotli A.K","TEL: 05826-922165
FAX: 05826-922165
E-mail: manager0036@Bankajk.com",https://bankajk.com/bajk-maps/036.php,33.300403,73.9521582
37,"Chakothi Branch
Main Bazar Chakhoti District Hattian A.K","TEL: 05822-921826
FAX: 05822-921826
E-mail: manager0037@Bankajk.com",https://bankajk.com/bajk-maps/037.php,34.1132724,73.8791541
38,"Kahotta Branch
 Main Bazar Kahotta District Hawaili A.K","TEL: 05823-921772
FAX: 05823-921772
E-mail: manager0038@Bankajk.com",https://bankajk.com/bajk-maps/038.php,33.8845704,74.1047674
39,"Paniola Branch
 Main Bazar Paniola District Poonch A.K","TEL: 05824-921608
FAX: 05824-921608
E-mail: manager0039@Bankajk.com",https://bankajk.com/bajk-maps/039.php,33.9208961,73.6866597
40,"District Complex Muzaffarabad Branch
Old Secretariat District Complex District Muzaffarabd","TEL: 05822-920043
FAX: 05822-920043
E-mail: manager0040@Bankajk.com",https://bankajk.com/bajk-maps/040.php,34.3601991,73.473301
41,"Bloch Branch
 Main Bazar Bloch District Sudhunuti","TEL: 05825-920316
FAX: 05825-9203167
E-mail: manager0041@Bankajk.com",https://bankajk.com/bajk-maps/041.php,33.647466,73.8159775
42,"Tatta-Pani Branch
 Main Bazar Tatta-Pani District Kotli A.K","TEL: 05826-921461
FAX: 05826-921461
E-mail: manager0042@Bankajk.com",https://bankajk.com/bajk-maps/042.php,33.6064349,73.9478857
43,"Sharda Branch
Main Sharda Bazar District Neelum A.K","TEL: 05821-920802
FAX: 05821-920802
E-mail: manager0043@Bankajk.com",https://bankajk.com/bajk-maps/043.php,34.7934579,74.1843559
44,"Mi-Toti Branch
 Main Bazar Mi-Toti District Kotli A.K","TEL: 05826-921865
FAX: 05826-921865
E-mail: manager0044@Bankajk.com",https://bankajk.com/bajk-maps/044.php,33.3267608,74.0367767
45,"Jatlan Branch
Main Bazar Jatlan District Mirpur","TEL: 05827-922764
FAX: 05827-922764
E-mail: manager0045@Bankajk.com",https://bankajk.com/bajk-maps/045.php,33.0348428,73.8393825
46,"Mian Muhammad Town Branch
Mian Muhammad Town District Mirpur A.K","TEL: 05827-920442
FAX: 05827-920442
E-mail: manager0046@Bankajk.com",https://bankajk.com/bajk-maps/046.php,33.1290278,73.7473081
47,"Jhatti Dheri Branch
Jhatti Dheri Cross District Mirpur A.K","TEL: 05827-922564
FAX: 05827-922564
E-mail: manager0047@Bankajk.com",https://bankajk.com/bajk-maps/047.php,33.1777438,73.8688517
48,"Dhanna Branch
 Dhanna Bazar District Kotli A.K","TEL: 05826-921761
FAX: 05826-921761
E-mail: manager0048@Bankajk.com",https://bankajk.com/bajk-maps/048.php,33.4118121,73.99859
49,"Talian Branch
Main Bazar Talian District Sadhnutti A.K","TEL: 05826-471319
FAX: 05826-471319
E-mail: manager0049@Bankajk.com",https://bankajk.com/bajk-maps/049.php,33.624438,73.7648249
50,"Thorar Branch
Main Bazar Thorar District Poonch A.K","TEL: 05824 921313
FAX: 05824 921313
E-mail: manager0050@Bankajk.com",https://bankajk.com/bajk-maps/050.php,33.8498386,73.6396824
51,"Juna Branch
Main Bazar Juna District Kotli A.K","TEL: 05826 474441
FAX: 05826 474441
E-mail: manager0051@Bankajk.com",https://bankajk.com/bajk-maps/051.php,33.374216,73.9473252
52,"Joora Branch
Main Bazar Joora District Neelum A.K","TEL: 05821 920502
FAX: 05821 920502
E-mail: manager0052@Bankajk.com",https://bankajk.com/bajk-maps/052.php,34.4929024,73.8364131
53,"Ladies Branch, Muzaffarabad
Hashim Plaza, Poultry Farm Road, Muzaffarabad, AK","TEL: 05822-923007
FAX: 05822-923008
E-mail: manager0053@Bankajk.com",https://bankajk.com/bajk-maps/053.php,34.3734366,73.4690283
54,"Ladies Branch, Mirpur
Haris Plaza Chowk Shaheedan Sector C-2 Mirpur AK","TEL: 05827-920405
FAX: 05827-920406
E-mail: manager0054@Bankajk.com",https://bankajk.com/bajk-maps/054.php,33.1480522,73.7511451
55,"Seharmandi Branch
Main Bazar Seharmandi, Tehsil Sehensa District Kotli AK","TEL: 05826-923150
FAX: 05826-923150
E-mail: manager0055@Bankajk.com",https://bankajk.com/bajk-maps/055.php,33.4513515,73.8163729
56,"CMH Road Rawalakot Branch
CMH Road Rawalakot AK","TEL: 05824-920545
FAX: 05824-920544
E-mail: manager0056@Bankajk.com",https://bankajk.com/bajk-maps/056.php,33.8622407,73.7575534
57,"Main Bazar Chakswari Branch
Main Bazar Chakswari Tehsil & District Mirpur AK.","TEL: 05827-922666
FAX: 05827-922666
E-mail: manager0057@Bankajk.com",https://bankajk.com/bajk-maps/057.php,33.2535686,73.7719792
58,"Ratta Branch Mirpur
 Allah Abad Market Main Road Ratta Tehsil Dadyal Distt. Mirpur","TEL: 05827-923011
FAX: 05827-92301
E-mail: manager0058@Bankajk.com",https://bankajk.com/bajk-maps/058.php,33.3668348,73.6594861
59,"Moil Branch
 Tehsil & District Bhimber AK","TEL: 05330-29731
FAX: 05330-29731
E-mail: manager0059@Bankajk.com",https://bankajk.com/bajk-maps/059.php,32.8385369,74.3494525
60,"Banbehk Branch
 Tehsil & District Poonch.","TEL: 05824-921106
FAX: 05824-921106
E-mail: manager0060@Bankajk.com",https://bankajk.com/bajk-maps/060.php,30.6056316,69.3451155
61,"Upper Ada Branch
Near Shah Anayat Darbar Upper Ada Muzaffarabad.","TEL: 05822-920747
FAX: 05822-920746
E-mail: manager0061@Bankajk.com",https://bankajk.com/bajk-maps/061.php,34.3731553,73.4715335
62,"Chathian Branch
Srinagar Road, Chathian Bazar, Dist. Hattian Bala","TEL: 05822-922514
FAX: 05822-922514
E-mail: manager0062@Bankajk.com",https://bankajk.com/bajk-maps/062.php,34.1930039,73.6612059
63,"Kutton Branch
Kutton, Tehsil Authmuqam, District Neelum.","TEL: 05821-920302
FAX: 05821-920303
E-mail: manager0063@Bankajk.com",https://bankajk.com/bajk-maps/063.php,34.5549813,73.8414664
64,"Jarahi Branch
Tehsil Dolya Jattan, District Kotli.","TEL: 05826-923350
FAX: 05826-923350
E-mail: manager0064@Bankajk.com",https://bankajk.com/bajk-maps/064.php,33.3428766,73.7634184
65,"Goi Branch
Village & P.O Goi Tehsil & District Kotli,","TEL: 05826-480649
FAX: 05826-480649
E-mail: manager0065@Bankajk.com",https://bankajk.com/bajk-maps/065.php,33.5558169,74.0093941
66,"Lorry Adda Branch
Lorry Adda, Tehsil & District Kotli, AJK,","TEL: 05826-920247
FAX: 05826-920248
E-mail: manager0066@Bankajk.com",https://bankajk.com/bajk-maps/066.php,33.5211558,73.9072716
67,"Gojra By-Pass Branch
Gojra By-Pass Road, Near WAPDA Colony,Muzaffarabad AJK,","TEL: 05822-923020
FAX: 05822-923019
E-mail: manager0067@Bankajk.com",https://bankajk.com/branches.php#,,
68,"Mang Branch
Mang Bazar, Near AC Office, Disttrict Sudhnuti AJK,","TEL: 05825-920715
FAX: 05825-920716
E-mail: manager0068@Bankajk.com",https://bankajk.com/branches.php#,,
69,"Kundal Shahi Branch
Main Bazar, Kundal Shahi, Tehsil Athmuqam, District Neelum","TEL: 05821-920342
FAX: 05821-920343
E-mail: manager0069@Bankajk.com",https://bankajk.com/branches.php#,,
70,"Brarkot Branch,
Abbottabad Road Brarkot Tehsil & District Muzaffarabad A.K","TEL: 0301-3117420
E-mail: manager0070@Bankajk.com",https://bankajk.com/branches.php#,,
71,"Muslimabad Branch,
Pattan Sher Khan, Tehsil Mang, District Sudhunoti, Azad Kashmir","TEL: 0315-3191313
E-mail: manager0071@Bankajk.com",https://bankajk.com/branches.php#,,
72,"Islam Nagar Branch,
Pattan Sher Khan, Tehsil Mang, District Sudhunoti, Azad Kashmir","TEL: 0345-5939806
E-mail: manager0072@Bankajk.com",https://bankajk.com/branches.php#,,
73,"Samahni Branch,
Shahrah-e-Jammu, Samahni, District Bhimber, Azad Kashmir","TEL: 05828-922165-66
E-mail: manager0073@Bankajk.com",https://bankajk.com/branches.php#,,
74,"Panthal Branch,
Panthal Branch, Tehsil and District Sudhnuti, Azad Kashmir","TEL: 0346-5463091
E-mail: manager0074@Bankajk.com",https://bankajk.com/branches.php#,,
75,"Nakyal Branch,
Nakyal, Fatehpur Thakyala, District Kotli, Azad Kashmir","TEL: 05826-922045-46
E-mail: manager0075@Bankajk.com",https://bankajk.com/branches.php#,,
76,"Chinari Branch,
Main Bazar Chinari, Azad Kashmir",E-mail: manager0076@Bankajk.com,https://bankajk.com/branches.php#,,
77,"PM House Road Branch,
Near PM House Muzaffarabad, Azad Kashmir","TEL: 05822-920862
E-mail: manager0077@Bankajk.com",https://bankajk.com/branches.php#,,
78,"Kot Jamel Branch,
Kot Jamel Tehsil Barnala Distt. Bhimber, Azad Kashmir","TEL: 05828-922068
E-mail: manager0078@Bankajk.com",https://bankajk.com/branches.php#,,
79,"Kotli Road Branch Mirpur,
Kotli Road branch opposite PWD Office Mirpur, Azad Kashmir","TEL: 05827-920079
FAX: 05827-940751
E-mail: manager0079@Bankajk.com",https://bankajk.com/branches.php#,,
80,"Mangla Hamlet
Main Bazar, Mangla Hamlet, Tehsiland District, Mirpur, Azad Kashmir","TEL: 05827-922448
TEL: 05827-922449
E-mail: manager0080@Bankajk.com",https://bankajk.com/branches.php#,,
81,"Khanabad
Khanabad Tehsil and District Mirpur, Azad Kashmir","TEL: 05827-922654
TEL: 05827-922656
E-mail: manager0081@Bankajk.com",https://bankajk.com/branches.php#,,
82,"Bypass Road Branch
Gulhar Shareef Chowk, Kotli, Azad Kashmir","TEL: 05826-940820

E-mail: manager0082@bankajk.com",https://bankajk.com/branches.php#,,
83,"Public Housing Scheme Branch
Bank Road Rawalakot (AK)","TEL: 05824-920040
TEL: 05824-920049
E-mail: manager0083@bankajk.com",https://bankajk.com/branches.php#,,
84,"Main Bazar Leepa
Jehlum Valley (AJ&K)","TEL: 05822-922867
TEL: 05822-922865
E-mail: manager0084@bankajk.com",https://bankajk.com/branches.php#,,
85,"Chella Bandi Branch
Neelum Road, Chella Bandi, Muzaffarabad AJK","TEL: 05822-923021
E-mail: manager0084@bankajk.com",https://bankajk.com/branches.php#,,
